Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change
High-income countries,,1972,10416049000.0,10762697000.0,345881600.0
High-income countries,,1973,10935626000.0,11252700000.0,317668800.0
High-income countries,,1974,10701384000.0,10984757000.0,284179840.0
High-income countries,,1975,10417451000.0,10763282000.0,346870880.0
High-income countries,,1976,11065734000.0,11382377000.0,318548160.0
High-income countries,,1977,11244483000.0,11825964000.0,583821760.0
High-income countries,,1978,11423385000.0,11882404000.0,460564800.0
High-income countries,,1979,11764701000.0,12196037000.0,431582560.0
High-income countries,,1980,11513779000.0,11989682000.0,476649760.0
High-income countries,,1981,11119154000.0,11608950000.0,490976000.0
High-income countries,,1982,10711212000.0,11115377000.0,405348320.0
High-income countries,,1983,10629665000.0,11237385000.0,609323200.0
High-income countries,,1984,11020606000.0,11503425000.0,484490720.0
High-income countries,,1985,11107999000.0,11553971000.0,448949920.0
High-income countries,,1986,11135027000.0,11478791000.0,345991520.0
High-income countries,,1987,11351236000.0,11705178000.0,356946880.0
High-income countries,,1988,11724040000.0,12082636000.0,361307040.0
High-income countries,,1989,11963486000.0,12311610000.0,350901280.0
High-income countries,,1990,12230908000.0,12557882000.0,329027200.0
High-income countries,,1991,12750790000.0,12976795000.0,228303840.0
High-income countries,,1992,12385686000.0,12620140000.0,235338720.0
High-income countries,,1993,12518780000.0,12760829000.0,243656000.0
High-income countries,,1994,12712233000.0,12975337000.0,265530080.0
High-income countries,,1995,12801427000.0,13129052000.0,330419520.0
High-income countries,,1996,13189941000.0,13503660000.0,316936000.0
High-income countries,,1997,13234190000.0,13532301000.0,302243360.0
High-income countries,,1998,13207327000.0,13606943000.0,403186560.0
High-income countries,,1999,13377942000.0,13745375000.0,370796800.0
High-income countries,,2000,13814314000.0,14179614000.0,370283840.0
High-income countries,,2001,13768310000.0,13909280000.0,146120320.0
High-income countries,,2002,13879006000.0,13915906000.0,41769600.0
High-income countries,,2003,14132029000.0,14407036000.0,279892960.0
High-income countries,,2004,14346497000.0,14522685000.0,181221440.0
High-income countries,,2005,14392103000.0,14536620000.0,149820960.0
High-income countries,,2006,14391346000.0,14341306000.0,-44664160.0
High-income countries,,2007,14503344000.0,14549698000.0,52285280.0
High-income countries,,2008,14207814000.0,14436851000.0,234605920.0
High-income countries,,2009,13361896000.0,13355503000.0,-146560.0
High-income countries,,2010,13919588000.0,14379654000.0,465731040.0
High-income countries,,2011,13710742000.0,13890832000.0,185618240.0
High-income countries,,2012,13646848000.0,13804049000.0,161802240.0
High-income countries,,2013,13672034000.0,13797394000.0,129339200.0
High-income countries,,2014,13541289000.0,13646126000.0,108967360.0
High-income countries,,2015,13504642000.0,13568521000.0,68406880.0
High-income countries,,2016,13287067000.0,13436610000.0,153851360.0
High-income countries,,2017,13285368000.0,13395670000.0,114793120.0
High-income countries,,2018,13344730000.0,13454364000.0,113510720.0
High-income countries,,2019,13037920000.0,13143287000.0,109150560.0
High-income countries,,2020,11938873000.0,12059592000.0,124319520.0
High-income countries,,2021,12516404000.0,12635424000.0,122853920.0
Low-income countries,,1850,0.0,62434560.0,219840000.0
Low-income countries,,1851,0.0,82586560.0,242923200.0
Low-income countries,,1852,0.0,96326560.0,257542560.0
Low-income countries,,1853,0.0,107758240.0,270329920.0
Low-income countries,,1854,0.0,112961120.0,275239680.0
Low-income countries,,1855,0.0,116625120.0,286231680.0
Low-income countries,,1856,0.0,120069280.0,288136960.0
Low-income countries,,1857,0.0,122414240.0,293413120.0
Low-income countries,,1858,0.0,125931680.0,298469440.0
Low-income countries,,1859,0.0,128313280.0,301473920.0
Low-income countries,,1860,0.0,73792960.0,218924000.0
Low-income countries,,1861,0.0,52724960.0,186864000.0
Low-income countries,,1862,0.0,40120800.0,164880000.0
Low-income countries,,1863,0.0,32792800.0,152605600.0
Low-income countries,,1864,0.0,27076960.0,142456320.0
Low-income countries,,1865,0.0,23706080.0,141870080.0
Low-income countries,,1866,0.0,21837440.0,137106880.0
Low-income countries,,1867,0.0,18979520.0,132160480.0
Low-income countries,,1868,0.0,17000960.0,127873600.0
Low-income countries,,1869,0.0,16158240.0,127580480.0
Low-income countries,,1870,0.0,15425440.0,125565280.0
Low-income countries,,1871,0.0,14252960.0,125235520.0
Low-income countries,,1872,0.0,13410240.0,127397280.0
Low-income countries,,1873,0.0,12970560.0,126664480.0
Low-income countries,,1874,0.0,12714080.0,123586720.0
Low-income countries,,1875,0.0,11834720.0,124392800.0
Low-income countries,,1876,0.0,11651520.0,126224800.0
Low-income countries,,1877,0.0,11504960.0,124172960.0
Low-income countries,,1878,0.0,10735520.0,121131840.0
Low-income countries,,1879,0.0,10479040.0,125015680.0
Low-income countries,,1880,0.0,11871360.0,125125600.0
Low-income countries,,1881,0.0,12274400.0,128496480.0
Low-income countries,,1882,0.0,12640800.0,130584960.0
Low-income countries,,1883,0.0,12347680.0,128606400.0
Low-income countries,,1884,0.0,12164480.0,131391040.0
Low-income countries,,1885,0.0,12164480.0,127397280.0
Low-income countries,,1886,0.0,11578240.0,130694880.0
Low-income countries,,1887,0.0,11651520.0,128569760.0
Low-income countries,,1888,0.0,12091200.0,130035360.0
Low-income countries,,1889,0.0,11688160.0,130511680.0
Low-income countries,,1890,0.0,13996480.0,136300800.0
Low-income countries,,1891,0.0,14326240.0,137290080.0
Low-income countries,,1892,0.0,15095680.0,140917440.0
Low-income countries,,1893,0.0,15315520.0,144911200.0
Low-income countries,,1894,0.0,15205600.0,142749440.0
Low-income countries,,1895,0.0,15462080.0,143848640.0
Low-income countries,,1896,0.0,15681920.0,138828960.0
Low-income countries,,1897,0.0,16048320.0,142199840.0
Low-income countries,,1898,0.0,15791840.0,140367840.0
Low-income countries,,1899,0.0,16561280.0,140844160.0
Low-income countries,,1900,0.0,18063520.0,147549280.0
Low-income countries,,1901,0.0,19089440.0,151506400.0
Low-income countries,,1902,0.0,19785600.0,157112320.0
Low-income countries,,1903,0.0,20005440.0,158504640.0
Low-income countries,,1904,0.0,22057280.0,161472480.0
Low-income countries,,1905,13885.0,23280284.0,161655680.0
Low-income countries,,1906,0.0,20958080.0,159750400.0
Low-income countries,,1907,0.0,21251200.0,160373280.0
Low-income countries,,1908,0.0,21104640.0,160226720.0
Low-income countries,,1909,149260.0,23342380.0,160703040.0
Low-income countries,,1910,187443.0,31514644.0,188183040.0
Low-income countries,,1911,222154.0,33894310.0,204304640.0
Low-income countries,,1912,277693.0,38016892.0,213537920.0
Low-income countries,,1913,322818.0,38135296.0,219766720.0
Low-income countries,,1914,461664.0,39153504.0,226508480.0
Low-income countries,,1915,576212.0,40843572.0,226325280.0
Low-income countries,,1916,479020.0,41369260.0,228413760.0
Low-income countries,,1917,0.0,28579200.0,233616640.0
Low-income countries,,1918,472077.0,44330156.0,239735520.0
Low-income countries,,1919,558856.0,45955816.0,242373600.0
Low-income countries,,1920,729136.0,87199540.0,258751680.0
Low-income countries,,1921,788339.0,95246260.0,275422880.0
Low-income countries,,1922,878974.0,102921380.0,290262080.0
Low-income countries,,1923,1115784.0,104806984.0,297443520.0
Low-income countries,,1924,1219341.0,110113420.0,308142400.0
Low-income countries,,1925,1772412.0,114440420.0,316972640.0
Low-income countries,,1926,1956383.0,112169500.0,315433760.0
Low-income countries,,1927,2055504.0,161292940.0,319244320.0
Low-income countries,,1928,2355329.0,160603490.0,323751040.0
Low-income countries,,1929,2671693.0,167441780.0,326718880.0
Low-income countries,,1930,2620561.0,195969840.0,389812960.0
Low-income countries,,1931,2616956.0,229052160.0,440302880.0
Low-income countries,,1932,2897794.0,246077470.0,467196640.0
Low-income countries,,1933,3342849.0,330208300.0,484857120.0
Low-income countries,,1934,4450871.0,336336000.0,494786560.0
Low-income countries,,1935,5213403.0,342118200.0,505412160.0
Low-income countries,,1936,6123519.0,271177280.0,511897440.0
Low-income countries,,1937,6645487.0,270929820.0,514388960.0
Low-income countries,,1938,8817427.0,276839040.0,513509600.0
Low-income countries,,1939,11443975.0,283899000.0,520178080.0
Low-income countries,,1940,14601361.0,342822460.0,666481600.0
Low-income countries,,1941,16288010.0,429990240.0,781311360.0
Low-income countries,,1942,18012496.0,456190240.0,842133760.0
Low-income countries,,1943,17547588.0,467303580.0,880385900.0
Low-income countries,,1944,18451552.0,421491550.0,892513800.0
Low-income countries,,1945,310314.0,606445800.0,922155500.0
Low-income countries,,1946,460454.0,404269900.0,913691650.0
Low-income countries,,1947,485870.0,608343500.0,929190400.0
Low-income countries,,1948,1853062.0,661922600.0,930802560.0
Low-income countries,,1949,2365862.0,679326500.0,945605100.0
Low-income countries,,1950,5326261.0,1060008640.0,1150496000.0
Low-income countries,,1951,5869772.0,981006700.0,1060251650.0
Low-income countries,,1952,6667395.0,952089340.0,1026176500.0
Low-income countries,,1953,7952931.0,936850240.0,1007380160.0
Low-income countries,,1954,16179290.0,964056100.0,1025370400.0
Low-income countries,,1955,18916404.0,997973800.0,1055781600.0
Low-income countries,,1956,20769348.0,1033535600.0,1090992600.0
Low-income countries,,1957,24804216.0,1088060400.0,1142288600.0
Low-income countries,,1958,28204938.0,1173205000.0,1182775800.0
Low-income countries,,1959,33584216.0,1238051000.0,1207764400.0
Low-income countries,,1960,40142292.0,1328294800.0,1290534100.0
Low-income countries,,1961,42327216.0,986466750.0,947253900.0
Low-income countries,,1962,47754508.0,845737000.0,800657300.0
Low-income countries,,1963,49703144.0,762534340.0,714736500.0
Low-income countries,,1964,54610260.0,707461760.0,655489600.0
Low-income countries,,1965,64466304.0,628429200.0,566271200.0
Low-income countries,,1966,69533100.0,586779970.0,519335360.0
Low-income countries,,1967,74614290.0,599262460.0,526663360.0
Low-income countries,,1968,94654190.0,618606200.0,526296960.0
Low-income countries,,1969,96631730.0,553019600.0,458000000.0
Low-income countries,,1970,104089420.0,558132300.0,456131360.0
Low-income countries,,1971,141401980.0,592147260.0,452980320.0
Low-income countries,,1972,121464510.0,549712830.0,429787200.0
Low-income countries,,1973,131216830.0,517878750.0,387834400.0
Low-income countries,,1974,137468800.0,539153150.0,402636960.0
Low-income countries,,1975,143352000.0,580284000.0,437738080.0
Low-income countries,,1976,147116880.0,535317700.0,388970240.0
Low-income countries,,1977,153057900.0,554449100.0,402124000.0
Low-income countries,,1978,148385920.0,510608960.0,362919200.0
Low-income countries,,1979,160132220.0,506160400.0,346467840.0
Low-income countries,,1980,162938060.0,551871700.0,389153440.0
Low-income countries,,1981,168650910.0,531716670.0,363029120.0
Low-income countries,,1982,169069200.0,487690620.0,318328320.0
Low-income countries,,1983,182697490.0,503590600.0,320196960.0
Low-income countries,,1984,197157950.0,523034100.0,325106720.0
Low-income countries,,1985,205873440.0,526656640.0,319867200.0
Low-income countries,,1986,219824370.0,505946140.0,284985920.0
Low-income countries,,1987,244312480.0,535050880.0,289529280.0
Low-income countries,,1988,271259140.0,541662340.0,269120800.0
Low-income countries,,1989,278471140.0,623326800.0,343573280.0
Low-income countries,,1990,189785330.0,534824220.0,345038880.0
Low-income countries,,1991,187560200.0,484087700.0,295391680.0
Low-income countries,,1992,172364260.0,649600260.0,474964320.0
Low-income countries,,1993,164415070.0,648063040.0,483648000.0
Low-income countries,,1994,157911550.0,716598300.0,558686700.0
Low-income countries,,1995,150054910.0,729150140.0,579095200.0
Low-income countries,,1996,142818050.0,702420740.0,559602700.0
Low-income countries,,1997,144910620.0,710522300.0,565611650.0
Low-income countries,,1998,145072030.0,715153800.0,570081800.0
Low-income countries,,1999,154845570.0,720310700.0,565465100.0
Low-income countries,,2000,159842820.0,818740000.0,658897150.0
Low-income countries,,2001,163222820.0,841832260.0,678609400.0
Low-income countries,,2002,152317730.0,1077367800.0,925050100.0
Low-income countries,,2003,174271580.0,1091004400.0,916732800.0
Low-income countries,,2004,177348450.0,1039780740.0,862432300.0
Low-income countries,,2005,181790640.0,960427260.0,778636700.0
Low-income countries,,2006,189636660.0,960249150.0,770612500.0
Low-income countries,,2007,194192670.0,958246600.0,764053900.0
Low-income countries,,2008,206964370.0,1250654700.0,1043690400.0
Low-income countries,,2009,191709440.0,1496936200.0,1305226800.0
Low-income countries,,2010,191076900.0,1639969000.0,1448892200.0
Low-income countries,,2011,178304540.0,1835311900.0,1657007400.0
Low-income countries,,2012,171134350.0,1709501300.0,1538367000.0
Low-income countries,,2013,158931800.0,1579061600.0,1420129800.0
Low-income countries,,2014,168480050.0,1362907400.0,1194427400.0
Low-income countries,,2015,151918340.0,1214551600.0,1062633300.0
Low-income countries,,2016,154928580.0,1246507500.0,1091578900.0
Low-income countries,,2017,188654080.0,1316360000.0,1127705900.0
Low-income countries,,2018,183890060.0,1197572400.0,1013682240.0
Low-income countries,,2019,195217390.0,1053875800.0,858658400.0
Low-income countries,,2020,191593890.0,1043767000.0,852173100.0
Low-income countries,,2021,198782960.0,1067480770.0,868697700.0
Lower-middle-income countries,,1850,26006.0,172087440.0,856130240.0
Lower-middle-income countries,,1851,0.0,165173120.0,921276160.0
Lower-middle-income countries,,1852,0.0,189868480.0,946228000.0
Lower-middle-income countries,,1853,0.0,209837280.0,979607040.0
Lower-middle-income countries,,1854,0.0,218008000.0,975540000.0
Lower-middle-income countries,,1855,78855.0,292392770.0,979313900.0
Lower-middle-income countries,,1856,0.0,232187680.0,999612500.0
Lower-middle-income countries,,1857,0.0,238526400.0,1004009300.0
Lower-middle-income countries,,1858,505220.0,443812580.0,1020240800.0
Lower-middle-income countries,,1859,753928.0,447688640.0,1028448100.0
Lower-middle-income countries,,1860,798309.0,333709340.0,879543200.0
Lower-middle-income countries,,1861,694390.0,288977920.0,801939700.0
Lower-middle-income countries,,1862,728137.0,263656780.0,757422100.0
Lower-middle-income countries,,1863,796196.0,248812370.0,762551700.0
Lower-middle-income countries,,1864,785696.0,238396100.0,743352300.0
Lower-middle-income countries,,1865,766522.0,231451970.0,736537300.0
Lower-middle-income countries,,1866,1270637.0,228182160.0,728989440.0
Lower-middle-income countries,,1867,723952.0,105770830.0,709240450.0
Lower-middle-income countries,,1868,602314.0,102864550.0,701326200.0
Lower-middle-income countries,,1869,817067.0,100770984.0,689161700.0
Lower-middle-income countries,,1870,886694.0,110733416.0,720159200.0
Lower-middle-income countries,,1871,1197079.0,115000920.0,721661440.0
Lower-middle-income countries,,1872,1228955.0,117487680.0,723530100.0
Lower-middle-income countries,,1873,1153457.0,118951064.0,743682050.0
Lower-middle-income countries,,1874,1400087.0,120883130.0,738259300.0
Lower-middle-income countries,,1875,1611485.0,122670050.0,727560450.0
Lower-middle-income countries,,1876,2000724.0,124488250.0,735511360.0
Lower-middle-income countries,,1877,2041829.0,125958310.0,722943900.0
Lower-middle-income countries,,1878,4435382.0,245636500.0,731590900.0
Lower-middle-income countries,,1879,4422481.0,247272400.0,732983200.0
Lower-middle-income countries,,1880,5098839.0,258720930.0,778709900.0
Lower-middle-income countries,,1881,5222529.0,264340600.0,846603840.0
Lower-middle-income countries,,1882,5759848.0,272425760.0,859904100.0
Lower-middle-income countries,,1883,6496883.0,275251300.0,881082100.0
Lower-middle-income countries,,1884,6848066.0,278606940.0,904788160.0
Lower-middle-income countries,,1885,6944884.0,281341860.0,908525440.0
Lower-middle-income countries,,1886,7372470.0,283271680.0,929556800.0
Lower-middle-income countries,,1887,7934027.0,285958340.0,927871360.0
Lower-middle-income countries,,1888,8487283.0,288270300.0,913215360.0
Lower-middle-income countries,,1889,9509241.0,474031170.0,940145800.0
Lower-middle-income countries,,1890,10656543.0,560586300.0,1026176500.0
Lower-middle-income countries,,1891,11632103.0,646346800.0,1138917800.0
Lower-middle-income countries,,1892,12888403.0,764045060.0,1187502300.0
Lower-middle-income countries,,1893,15092992.0,779110300.0,1196955500.0
Lower-middle-income countries,,1894,15041248.0,786606340.0,1215825200.0
Lower-middle-income countries,,1895,17911806.0,829048100.0,1256165800.0
Lower-middle-income countries,,1896,18938612.0,826667400.0,1267963900.0
Lower-middle-income countries,,1897,21569430.0,828015800.0,1266534900.0
Lower-middle-income countries,,1898,24176568.0,836888400.0,1264409700.0
Lower-middle-income countries,,1899,27115960.0,837812600.0,1267963900.0
Lower-middle-income countries,,1900,30874658.0,866962800.0,1306435800.0
Lower-middle-income countries,,1901,33605896.0,869584100.0,1339045400.0
Lower-middle-income countries,,1902,33531572.0,875189060.0,1376161800.0
Lower-middle-income countries,,1903,35178880.0,873392100.0,1378616600.0
Lower-middle-income countries,,1904,39459732.0,880677440.0,1367844500.0
Lower-middle-income countries,,1905,38680136.0,884148100.0,1376931200.0
Lower-middle-income countries,,1906,44016476.0,900513100.0,1384222600.0
Lower-middle-income countries,,1907,49398670.0,1006288900.0,1404081400.0
Lower-middle-income countries,,1908,53060256.0,988442800.0,1394445000.0
Lower-middle-income countries,,1909,54125700.0,969869250.0,1364253700.0
Lower-middle-income countries,,1910,53482840.0,936103800.0,1362714900.0
Lower-middle-income countries,,1911,56253184.0,955252200.0,1376638100.0
Lower-middle-income countries,,1912,62291316.0,950371600.0,1375832000.0
Lower-middle-income countries,,1913,68368776.0,915742100.0,1341537000.0
Lower-middle-income countries,,1914,67122260.0,916181000.0,1360919600.0
Lower-middle-income countries,,1915,66767324.0,942903000.0,1361432400.0
Lower-middle-income countries,,1916,70470790.0,922460740.0,1315669100.0
Lower-middle-income countries,,1917,71596456.0,922890200.0,1317024800.0
Lower-middle-income countries,,1918,63286090.0,889115000.0,1305153400.0
Lower-middle-income countries,,1919,66856296.0,890303700.0,1295920100.0
Lower-middle-income countries,,1920,60019044.0,1035778900.0,1442700000.0
Lower-middle-income countries,,1921,66305668.0,1086070100.0,1465636600.0
Lower-middle-income countries,,1922,68638480.0,1119217200.0,1487803900.0
Lower-middle-income countries,,1923,74845976.0,1114725800.0,1474979800.0
Lower-middle-income countries,,1924,83095560.0,1144043400.0,1496560800.0
Lower-middle-income countries,,1925,84340710.0,1146241200.0,1494032600.0
Lower-middle-income countries,,1926,91040620.0,1159792800.0,1501617200.0
Lower-middle-income countries,,1927,101474910.0,1176675700.0,1513781600.0
Lower-middle-income countries,,1928,110319350.0,1290750200.0,1516896000.0
Lower-middle-income countries,,1929,116664820.0,1314316500.0,1534226700.0
Lower-middle-income countries,,1930,127720000.0,1368277100.0,1636672100.0
Lower-middle-income countries,,1931,127876660.0,1402142600.0,1702660900.0
Lower-middle-income countries,,1932,131878430.0,1453409900.0,1768283000.0
Lower-middle-income countries,,1933,139932210.0,1464394900.0,1786236700.0
Lower-middle-income countries,,1934,158752700.0,1485560300.0,1792978400.0
Lower-middle-income countries,,1935,170277220.0,1509505800.0,1816025000.0
Lower-middle-income countries,,1936,185544620.0,1542653600.0,1843175200.0
Lower-middle-income countries,,1937,203257020.0,1573263400.0,1860249500.0
Lower-middle-income countries,,1938,215172530.0,1603572100.0,1883442600.0
Lower-middle-income countries,,1939,218174860.0,1617016800.0,1893005600.0
Lower-middle-income countries,,1940,237365040.0,1706629000.0,2216133600.0
Lower-middle-income countries,,1941,217629150.0,1729688700.0,2412048000.0
Lower-middle-income countries,,1942,160437460.0,1666671200.0,2526511000.0
Lower-middle-income countries,,1943,166007970.0,1761753300.0,2622288100.0
Lower-middle-income countries,,1944,192292480.0,1798809900.0,2666696000.0
Lower-middle-income countries,,1945,207206030.0,1850839800.0,2707549400.0
Lower-middle-income countries,,1946,222862660.0,1996092200.0,2750858000.0
Lower-middle-income countries,,1947,249338370.0,2019783300.0,2761886700.0
Lower-middle-income countries,,1948,285644860.0,2071222000.0,2790942000.0
Lower-middle-income countries,,1949,320384600.0,2119445200.0,2815197700.0
Lower-middle-income countries,,1950,353657180.0,3385177600.0,3164743400.0
Lower-middle-income countries,,1951,295231330.0,3347343400.0,3185078500.0
Lower-middle-income countries,,1952,315847700.0,3443218200.0,3261143300.0
Lower-middle-income countries,,1953,329344320.0,3565535700.0,3377182200.0
Lower-middle-income countries,,1954,353903740.0,3688693200.0,3482375400.0
Lower-middle-income countries,,1955,413514500.0,3863537000.0,3576210400.0
Lower-middle-income countries,,1956,449272900.0,4001374200.0,3680158200.0
Lower-middle-income countries,,1957,488688030.0,4127186700.0,3772161300.0
Lower-middle-income countries,,1958,521782370.0,4284417300.0,3876805000.0
Lower-middle-income countries,,1959,547367200.0,4567214600.0,4040769000.0
