Subject,Gender,Year,Age,Cumulative,Candidates,Grades,Percent
All subjects,All,2012,All ages,Non-cumulative percentages,791760,A*,8
All subjects,All,2012,All ages,Non-cumulative percentages,791760,B,25.9
All subjects,All,2012,All ages,Non-cumulative percentages,791760,C,24
All subjects,All,2012,All ages,Non-cumulative percentages,791760,D,15.1
All subjects,All,2012,All ages,Non-cumulative percentages,791760,E,6.5
All subjects,All,2013,All ages,Cumulative percentages,782200,A and above,26.3
All subjects,All,2013,All ages,Cumulative percentages,782200,A*,7.7
All subjects,All,2013,All ages,Cumulative percentages,782200,B and above,52.8
All subjects,All,2013,All ages,Cumulative percentages,782200,C and above,77
All subjects,All,2013,All ages,Cumulative percentages,782200,D and above,91.9
All subjects,All,2013,All ages,Cumulative percentages,782200,E and above,98.1
All subjects,All,2013,All ages,Non-cumulative percentages,782200,A,18.6
All subjects,All,2013,All ages,Non-cumulative percentages,782200,A*,7.7
All subjects,All,2013,All ages,Non-cumulative percentages,782200,B,26.5
All subjects,All,2013,All ages,Non-cumulative percentages,782200,C,24.2
All subjects,All,2013,All ages,Non-cumulative percentages,782200,D,14.9
All subjects,All,2013,All ages,Non-cumulative percentages,782200,E,6.2
All subjects,All,2014,All ages,Cumulative percentages,766715,A and above,26
All subjects,All,2014,All ages,Cumulative percentages,766715,A*,8.3
All subjects,All,2014,All ages,Cumulative percentages,766715,B and above,52.2
All subjects,All,2014,All ages,Cumulative percentages,766715,C and above,76.5
All subjects,All,2014,All ages,Cumulative percentages,766715,D and above,91.5
All subjects,All,2014,All ages,Cumulative percentages,766715,E and above,98
All subjects,All,2014,All ages,Non-cumulative percentages,766715,A,17.7
All subjects,All,2014,All ages,Non-cumulative percentages,766715,A*,8.3
All subjects,All,2014,All ages,Non-cumulative percentages,766715,B,26.2
All subjects,All,2014,All ages,Non-cumulative percentages,766715,C,24.3
All subjects,All,2014,All ages,Non-cumulative percentages,766715,D,15
All subjects,All,2014,All ages,Non-cumulative percentages,766715,E,6.5
All subjects,All,2015,All ages,Cumulative percentages,782325,A and above,25.9
All subjects,All,2015,All ages,Cumulative percentages,782325,A*,8.3
All subjects,All,2015,All ages,Cumulative percentages,782325,B and above,52.7
All subjects,All,2015,All ages,Cumulative percentages,782325,C and above,77.2
All subjects,All,2015,All ages,Cumulative percentages,782325,D and above,92
All subjects,All,2015,All ages,Cumulative percentages,782325,E and above,98.1
All subjects,All,2015,All ages,Non-cumulative percentages,782325,A,17.6
All subjects,All,2015,All ages,Non-cumulative percentages,782325,A*,8.3
All subjects,All,2015,All ages,Non-cumulative percentages,782325,B,26.8
All subjects,All,2015,All ages,Non-cumulative percentages,782325,C,24.5
All subjects,All,2015,All ages,Non-cumulative percentages,782325,D,14.8
All subjects,All,2015,All ages,Non-cumulative percentages,782325,E,6.1
All subjects,All,2016,All ages,Cumulative percentages,769340,A and above,25.8
All subjects,All,2016,All ages,Cumulative percentages,769340,A*,8.1
All subjects,All,2016,All ages,Cumulative percentages,769340,B and above,52.8
All subjects,All,2016,All ages,Cumulative percentages,769340,C and above,77.5
All subjects,All,2016,All ages,Cumulative percentages,769340,D and above,92.2
All subjects,All,2016,All ages,Cumulative percentages,769340,E and above,98.1
All subjects,All,2016,All ages,Non-cumulative percentages,769340,A,17.7
All subjects,All,2016,All ages,Non-cumulative percentages,769340,A*,8.1
All subjects,All,2016,All ages,Non-cumulative percentages,769340,B,27
All subjects,All,2016,All ages,Non-cumulative percentages,769340,C,24.7
All subjects,All,2016,All ages,Non-cumulative percentages,769340,D,14.7
All subjects,All,2016,All ages,Non-cumulative percentages,769340,E,5.9
All subjects,All,2017,Aged 18,Cumulative percentages,662790,A and above,26.8
All subjects,All,2017,Aged 18,Cumulative percentages,662790,A*,8.5
All subjects,All,2017,Aged 18,Cumulative percentages,662790,B and above,53.7
All subjects,All,2017,Aged 18,Cumulative percentages,662790,C and above,78
All subjects,All,2017,Aged 18,Cumulative percentages,662790,D and above,92.4
All subjects,All,2017,Aged 18,Cumulative percentages,662790,E and above,98.1
All subjects,All,2017,Aged 18,Non-cumulative percentages,662790,A,18.3
All subjects,All,2017,Aged 18,Non-cumulative percentages,662790,A*,8.5
All subjects,All,2017,Aged 18,Non-cumulative percentages,662790,B,26.9
All subjects,All,2017,Aged 18,Non-cumulative percentages,662790,C,24.3
All subjects,All,2017,Aged 18,Non-cumulative percentages,662790,D,14.4
All subjects,All,2017,Aged 18,Non-cumulative percentages,662790,E,5.7
All subjects,All,2017,All ages,Cumulative percentages,759235,A and above,26.2
All subjects,All,2017,All ages,Cumulative percentages,759235,A*,8.3
All subjects,All,2017,All ages,Cumulative percentages,759235,B and above,52.9
All subjects,All,2017,All ages,Cumulative percentages,759235,C and above,77.3
All subjects,All,2017,All ages,Cumulative percentages,759235,D and above,91.9
All subjects,All,2017,All ages,Cumulative percentages,759235,E and above,97.9
All subjects,All,2017,All ages,Non-cumulative percentages,759235,A,17.9
All subjects,All,2017,All ages,Non-cumulative percentages,759235,A*,8.3
All subjects,All,2017,All ages,Non-cumulative percentages,759235,B,26.7
All subjects,All,2017,All ages,Non-cumulative percentages,759235,C,24.4
All subjects,All,2017,All ages,Non-cumulative percentages,759235,D,14.7
All subjects,All,2017,All ages,Non-cumulative percentages,759235,E,5.9
All subjects,All,2018,Aged 18,Cumulative percentages,660130,A and above,26.7
All subjects,All,2018,Aged 18,Cumulative percentages,660130,A*,8.2
All subjects,All,2018,Aged 18,Cumulative percentages,660130,B and above,53.4
All subjects,All,2018,Aged 18,Cumulative percentages,660130,C and above,77.6
All subjects,All,2018,Aged 18,Cumulative percentages,660130,D and above,92
All subjects,All,2018,Aged 18,Cumulative percentages,660130,E and above,97.9
All subjects,All,2018,Aged 18,Non-cumulative percentages,660130,A,18.5
All subjects,All,2018,Aged 18,Non-cumulative percentages,660130,A*,8.2
All subjects,All,2018,Aged 18,Non-cumulative percentages,660130,B,26.8
All subjects,All,2018,Aged 18,Non-cumulative percentages,660130,C,24.1
All subjects,All,2018,Aged 18,Non-cumulative percentages,660130,D,14.5
All subjects,All,2018,Aged 18,Non-cumulative percentages,660130,E,5.9
All subjects,All,2018,All ages,Cumulative percentages,745535,A and above,26.2
All subjects,All,2018,All ages,Cumulative percentages,745535,A*,8
All subjects,All,2018,All ages,Cumulative percentages,745535,B and above,52.7
All subjects,All,2018,All ages,Cumulative percentages,745535,C and above,76.8
All subjects,All,2018,All ages,Cumulative percentages,745535,D and above,91.4
All subjects,All,2018,All ages,Cumulative percentages,745535,E and above,97.6
All subjects,All,2018,All ages,Non-cumulative percentages,745535,A,18.2
All subjects,All,2018,All ages,Non-cumulative percentages,745535,A*,8
All subjects,All,2018,All ages,Non-cumulative percentages,745535,B,26.5
All subjects,All,2018,All ages,Non-cumulative percentages,745535,C,24.1
All subjects,All,2018,All ages,Non-cumulative percentages,745535,D,14.7
All subjects,All,2018,All ages,Non-cumulative percentages,745535,E,6.2
All subjects,All,2019,Aged 18,Cumulative percentages,658130,A and above,25.5
All subjects,All,2019,Aged 18,Cumulative percentages,658130,A*,7.8
All subjects,All,2019,Aged 18,Cumulative percentages,658130,B and above,51.8
All subjects,All,2019,Aged 18,Cumulative percentages,658130,C and above,76.3
All subjects,All,2019,Aged 18,Cumulative percentages,658130,D and above,91.4
All subjects,All,2019,Aged 18,Cumulative percentages,658130,E and above,97.9
All subjects,All,2019,Aged 18,Non-cumulative percentages,658130,A,17.8
All subjects,All,2019,Aged 18,Non-cumulative percentages,658130,A*,7.8
All subjects,All,2019,Aged 18,Non-cumulative percentages,658130,B,26.3
All subjects,All,2019,Aged 18,Non-cumulative percentages,658130,C,24.4
All subjects,All,2019,Aged 18,Non-cumulative percentages,658130,D,15.1
All subjects,All,2019,Aged 18,Non-cumulative percentages,658130,E,6.5
All subjects,All,2019,All ages,Cumulative percentages,736735,A and above,25.2
All subjects,All,2019,All ages,Cumulative percentages,736735,A*,7.7
All subjects,All,2019,All ages,Cumulative percentages,736735,B and above,51.1
All subjects,All,2019,All ages,Cumulative percentages,736735,C and above,75.5
All subjects,All,2019,All ages,Cumulative percentages,736735,D and above,90.8
All subjects,All,2019,All ages,Cumulative percentages,736735,E and above,97.5
All subjects,All,2019,All ages,Non-cumulative percentages,736735,A,17.5
All subjects,All,2019,All ages,Non-cumulative percentages,736735,A*,7.7
All subjects,All,2019,All ages,Non-cumulative percentages,736735,B,25.9
All subjects,All,2019,All ages,Non-cumulative percentages,736735,C,24.3
All subjects,All,2019,All ages,Non-cumulative percentages,736735,D,15.3
All subjects,All,2019,All ages,Non-cumulative percentages,736735,E,6.7
All subjects,All,2020,Aged 18,Cumulative percentages,657780,A and above,38.2
All subjects,All,2020,Aged 18,Cumulative percentages,657780,A*,14.3
All subjects,All,2020,Aged 18,Cumulative percentages,657780,B and above,65.7
All subjects,All,2020,Aged 18,Cumulative percentages,657780,C and above,87.8
All subjects,All,2020,Aged 18,Cumulative percentages,657780,D and above,97
All subjects,All,2020,Aged 18,Cumulative percentages,657780,E and above,99.8
All subjects,All,2020,Aged 18,Non-cumulative percentages,657780,A,23.9
All subjects,All,2020,Aged 18,Non-cumulative percentages,657780,A*,14.3
All subjects,All,2020,Aged 18,Non-cumulative percentages,657780,B,27.5
All subjects,All,2020,Aged 18,Non-cumulative percentages,657780,C,22.1
All subjects,All,2020,Aged 18,Non-cumulative percentages,657780,D,9.2
All subjects,All,2020,Aged 18,Non-cumulative percentages,657780,E,2.8
All subjects,All,2020,All ages,Cumulative percentages,718855,A and above,38.1
All subjects,All,2020,All ages,Cumulative percentages,718855,A*,14.3
All subjects,All,2020,All ages,Cumulative percentages,718855,B and above,65.4
All subjects,All,2020,All ages,Cumulative percentages,718855,C and above,87.5
All subjects,All,2020,All ages,Cumulative percentages,718855,D and above,96.8
All subjects,All,2020,All ages,Cumulative percentages,718855,E and above,99.7
All subjects,All,2020,All ages,Non-cumulative percentages,718855,A,23.9
All subjects,All,2020,All ages,Non-cumulative percentages,718855,A*,14.3
All subjects,All,2020,All ages,Non-cumulative percentages,718855,B,27.3
All subjects,All,2020,All ages,Non-cumulative percentages,718855,C,22.1
All subjects,All,2020,All ages,Non-cumulative percentages,718855,D,9.3
All subjects,All,2020,All ages,Non-cumulative percentages,718855,E,2.9
All subjects,All,2021,Aged 18,Cumulative percentages,695505,A and above,44.3
All subjects,All,2021,Aged 18,Cumulative percentages,695505,A*,19
All subjects,All,2021,Aged 18,Cumulative percentages,695505,B and above,69.9
All subjects,All,2021,Aged 18,Cumulative percentages,695505,C and above,88.4
All subjects,All,2021,Aged 18,Cumulative percentages,695505,D and above,96.4
All subjects,All,2021,Aged 18,Cumulative percentages,695505,E and above,99.5
All subjects,All,2021,Aged 18,Non-cumulative percentages,695505,A,25.3
All subjects,All,2021,Aged 18,Non-cumulative percentages,695505,A*,19
All subjects,All,2021,Aged 18,Non-cumulative percentages,695505,B,25.7
All subjects,All,2021,Aged 18,Non-cumulative percentages,695505,C,18.5
All subjects,All,2021,Aged 18,Non-cumulative percentages,695505,D,8
All subjects,All,2021,Aged 18,Non-cumulative percentages,695505,E,3.1
All subjects,All,2021,All ages,Cumulative percentages,752555,A and above,44.3
All subjects,All,2021,All ages,Cumulative percentages,752555,A*,19.1
All subjects,All,2021,All ages,Cumulative percentages,752555,B and above,69.8
All subjects,All,2021,All ages,Cumulative percentages,752555,C and above,88.2
All subjects,All,2021,All ages,Cumulative percentages,752555,D and above,96.2
All subjects,All,2021,All ages,Cumulative percentages,752555,E and above,99.5
All subjects,All,2021,All ages,Non-cumulative percentages,752555,A,25.2
All subjects,All,2021,All ages,Non-cumulative percentages,752555,A*,19.1
All subjects,All,2021,All ages,Non-cumulative percentages,752555,B,25.5
All subjects,All,2021,All ages,Non-cumulative percentages,752555,C,18.4
All subjects,All,2021,All ages,Non-cumulative percentages,752555,D,8
All subjects,All,2021,All ages,Non-cumulative percentages,752555,E,3.2
All subjects,Female,2008,All ages,Cumulative percentages,409910,A and above,26.6
All subjects,Female,2008,All ages,Cumulative percentages,409910,B and above,52.5
All subjects,Female,2008,All ages,Cumulative percentages,409910,C and above,75.8
All subjects,Female,2008,All ages,Cumulative percentages,409910,D and above,90.9
All subjects,Female,2008,All ages,Cumulative percentages,409910,E and above,97.7
All subjects,Female,2008,All ages,Non-cumulative percentages,409910,A,26.6
All subjects,Female,2008,All ages,Non-cumulative percentages,409910,B,25.9
All subjects,Female,2008,All ages,Non-cumulative percentages,409910,C,23.3
All subjects,Female,2008,All ages,Non-cumulative percentages,409910,D,15.1
All subjects,Female,2008,All ages,Non-cumulative percentages,409910,E,6.8
All subjects,Female,2009,All ages,Cumulative percentages,418160,A and above,27.4
All subjects,Female,2009,All ages,Cumulative percentages,418160,B and above,53.7
All subjects,Female,2009,All ages,Cumulative percentages,418160,C and above,77
All subjects,Female,2009,All ages,Cumulative percentages,418160,D and above,91.6
All subjects,Female,2009,All ages,Cumulative percentages,418160,E and above,98
All subjects,Female,2009,All ages,Non-cumulative percentages,418160,A,27.4
All subjects,Female,2009,All ages,Non-cumulative percentages,418160,B,26.3
All subjects,Female,2009,All ages,Non-cumulative percentages,418160,C,23.3
All subjects,Female,2009,All ages,Non-cumulative percentages,418160,D,14.6
All subjects,Female,2009,All ages,Non-cumulative percentages,418160,E,6.4
All subjects,Female,2010,All ages,Cumulative percentages,421900,A and above,27.6
All subjects,Female,2010,All ages,Cumulative percentages,421900,A*,8.3
All subjects,Female,2010,All ages,Cumulative percentages,421900,B and above,53.8
All subjects,Female,2010,All ages,Cumulative percentages,421900,C and above,77.4
All subjects,Female,2010,All ages,Cumulative percentages,421900,D and above,92.1
All subjects,Female,2010,All ages,Cumulative percentages,421900,E and above,98.1
All subjects,Female,2010,All ages,Non-cumulative percentages,421900,A,19.3
All subjects,Female,2010,All ages,Non-cumulative percentages,421900,A*,8.3
All subjects,Female,2010,All ages,Non-cumulative percentages,421900,B,26.2
All subjects,Female,2010,All ages,Non-cumulative percentages,421900,C,23.6
All subjects,Female,2010,All ages,Non-cumulative percentages,421900,D,14.7
All subjects,Female,2010,All ages,Non-cumulative percentages,421900,E,6
All subjects,Female,2011,All ages,Cumulative percentages,427250,A and above,27.4
All subjects,Female,2011,All ages,Cumulative percentages,427250,A*,8.3
All subjects,Female,2011,All ages,Cumulative percentages,427250,B and above,54.1
All subjects,Female,2011,All ages,Cumulative percentages,427250,C and above,78.2
All subjects,Female,2011,All ages,Cumulative percentages,427250,D and above,92.6
All subjects,Female,2011,All ages,Cumulative percentages,427250,E and above,98.3
All subjects,Female,2011,All ages,Non-cumulative percentages,427250,A,19.1
All subjects,Female,2011,All ages,Non-cumulative percentages,427250,A*,8.3
All subjects,Female,2011,All ages,Non-cumulative percentages,427250,B,26.7
All subjects,Female,2011,All ages,Non-cumulative percentages,427250,C,24.1
All subjects,Female,2011,All ages,Non-cumulative percentages,427250,D,14.4
All subjects,Female,2011,All ages,Non-cumulative percentages,427250,E,5.7
All subjects,Female,2012,All ages,Cumulative percentages,427165,A and above,27.1
All subjects,Female,2012,All ages,Cumulative percentages,427165,A*,8
All subjects,Female,2012,All ages,Cumulative percentages,427165,B and above,54.4
All subjects,Female,2012,All ages,Cumulative percentages,427165,C and above,78.7
All subjects,Female,2012,All ages,Cumulative percentages,427165,D and above,92.8
All subjects,Female,2012,All ages,Cumulative percentages,427165,E and above,98.4
All subjects,Female,2012,All ages,Non-cumulative percentages,427165,A,19.1
All subjects,Female,2012,All ages,Non-cumulative percentages,427165,A*,8
All subjects,Female,2012,All ages,Non-cumulative percentages,427165,B,27.3
All subjects,Female,2012,All ages,Non-cumulative percentages,427165,C,24.3
All subjects,Female,2012,All ages,Non-cumulative percentages,427165,D,14.1
All subjects,Female,2012,All ages,Non-cumulative percentages,427165,E,5.6
All subjects,Female,2013,All ages,Cumulative percentages,423670,A and above,26.6
All subjects,Female,2013,All ages,Cumulative percentages,423670,A*,7.4
All subjects,Female,2013,All ages,Cumulative percentages,423670,B and above,54.6
All subjects,Female,2013,All ages,Cumulative percentages,423670,C and above,79.2
All subjects,Female,2013,All ages,Cumulative percentages,423670,D and above,93.2
All subjects,Female,2013,All ages,Cumulative percentages,423670,E and above,98.5
All subjects,Female,2013,All ages,Non-cumulative percentages,423670,A,19.2
All subjects,Female,2013,All ages,Non-cumulative percentages,423670,A*,7.4
All subjects,Female,2013,All ages,Non-cumulative percentages,423670,B,28
All subjects,Female,2013,All ages,Non-cumulative percentages,423670,C,24.6
All subjects,Female,2013,All ages,Non-cumulative percentages,423670,D,14
All subjects,Female,2013,All ages,Non-cumulative percentages,423670,E,5.3
All subjects,Female,2014,All ages,Cumulative percentages,417255,A and above,26.1
All subjects,Female,2014,All ages,Cumulative percentages,417255,A*,7.9
All subjects,Female,2014,All ages,Cumulative percentages,417255,B and above,53.9
All subjects,Female,2014,All ages,Cumulative percentages,417255,C and above,78.7
All subjects,Female,2014,All ages,Cumulative percentages,417255,D and above,92.8
All subjects,Female,2014,All ages,Cumulative percentages,417255,E and above,98.4
All subjects,Female,2014,All ages,Non-cumulative percentages,417255,A,18.2
All subjects,Female,2014,All ages,Non-cumulative percentages,417255,A*,7.9
All subjects,Female,2014,All ages,Non-cumulative percentages,417255,B,27.8
All subjects,Female,2014,All ages,Non-cumulative percentages,417255,C,24.8
All subjects,Female,2014,All ages,Non-cumulative percentages,417255,D,14.1
All subjects,Female,2014,All ages,Non-cumulative percentages,417255,E,5.6
All subjects,Female,2015,All ages,Cumulative percentages,429465,A and above,26
All subjects,Female,2015,All ages,Cumulative percentages,429465,A*,7.9
All subjects,Female,2015,All ages,Cumulative percentages,429465,B and above,54.4
All subjects,Female,2015,All ages,Cumulative percentages,429465,C and above,79.5
All subjects,Female,2015,All ages,Cumulative percentages,429465,D and above,93.4
All subjects,Female,2015,All ages,Cumulative percentages,429465,E and above,98.5
All subjects,Female,2015,All ages,Non-cumulative percentages,429465,A,18.1
All subjects,Female,2015,All ages,Non-cumulative percentages,429465,A*,7.9
All subjects,Female,2015,All ages,Non-cumulative percentages,429465,B,28.4
All subjects,Female,2015,All ages,Non-cumulative percentages,429465,C,25.1
All subjects,Female,2015,All ages,Non-cumulative percentages,429465,D,13.9
All subjects,Female,2015,All ages,Non-cumulative percentages,429465,E,5.1
All subjects,Female,2016,All ages,Cumulative percentages,423710,A and above,25.9
All subjects,Female,2016,All ages,Cumulative percentages,423710,A*,7.8
All subjects,Female,2016,All ages,Cumulative percentages,423710,B and above,54.3
All subjects,Female,2016,All ages,Cumulative percentages,423710,C and above,79.6
All subjects,Female,2016,All ages,Cumulative percentages,423710,D and above,93.4
All subjects,Female,2016,All ages,Cumulative percentages,423710,E and above,98.5
All subjects,Female,2016,All ages,Non-cumulative percentages,423710,A,18.1
All subjects,Female,2016,All ages,Non-cumulative percentages,423710,A*,7.8
All subjects,Female,2016,All ages,Non-cumulative percentages,423710,B,28.4
All subjects,Female,2016,All ages,Non-cumulative percentages,423710,C,25.3
All subjects,Female,2016,All ages,Non-cumulative percentages,423710,D,13.8
All subjects,Female,2016,All ages,Non-cumulative percentages,423710,E,5.1
All subjects,Female,2017,Aged 18,Cumulative percentages,369065,A and above,26.4
All subjects,Female,2017,Aged 18,Cumulative percentages,369065,A*,7.9
All subjects,Female,2017,Aged 18,Cumulative percentages,369065,B and above,54.9
All subjects,Female,2017,Aged 18,Cumulative percentages,369065,C and above,79.8
All subjects,Female,2017,Aged 18,Cumulative percentages,369065,D and above,93.6
All subjects,Female,2017,Aged 18,Cumulative percentages,369065,E and above,98.5
All subjects,Female,2017,Aged 18,Non-cumulative percentages,369065,A,18.5
All subjects,Female,2017,Aged 18,Non-cumulative percentages,369065,A*,7.9
All subjects,Female,2017,Aged 18,Non-cumulative percentages,369065,B,28.5
All subjects,Female,2017,Aged 18,Non-cumulative percentages,369065,C,24.8
All subjects,Female,2017,Aged 18,Non-cumulative percentages,369065,D,13.8
All subjects,Female,2017,Aged 18,Non-cumulative percentages,369065,E,5
All subjects,Female,2017,All ages,Cumulative percentages,416375,A and above,25.9
All subjects,Female,2017,All ages,Cumulative percentages,416375,A*,7.7
All subjects,Female,2017,All ages,Cumulative percentages,416375,B and above,54.1
All subjects,Female,2017,All ages,Cumulative percentages,416375,C and above,79
All subjects,Female,2017,All ages,Cumulative percentages,416375,D and above,93.1
All subjects,Female,2017,All ages,Cumulative percentages,416375,E and above,98.3
All subjects,Female,2017,All ages,Non-cumulative percentages,416375,A,18.1
All subjects,Female,2017,All ages,Non-cumulative percentages,416375,A*,7.7
All subjects,Female,2017,All ages,Non-cumulative percentages,416375,B,28.2
All subjects,Female,2017,All ages,Non-cumulative percentages,416375,C,24.9
All subjects,Female,2017,All ages,Non-cumulative percentages,416375,D,14.1
All subjects,Female,2017,All ages,Non-cumulative percentages,416375,E,5.2
All subjects,Female,2018,Aged 18,Cumulative percentages,367095,A and above,26.3
All subjects,Female,2018,Aged 18,Cumulative percentages,367095,A*,7.7
All subjects,Female,2018,Aged 18,Cumulative percentages,367095,B and above,54.5
All subjects,Female,2018,Aged 18,Cumulative percentages,367095,C and above,79.1
All subjects,Female,2018,Aged 18,Cumulative percentages,367095,D and above,93
All subjects,Female,2018,Aged 18,Cumulative percentages,367095,E and above,98.3
All subjects,Female,2018,Aged 18,Non-cumulative percentages,367095,A,18.7
All subjects,Female,2018,Aged 18,Non-cumulative percentages,367095,A*,7.7
All subjects,Female,2018,Aged 18,Non-cumulative percentages,367095,B,28.1
All subjects,Female,2018,Aged 18,Non-cumulative percentages,367095,C,24.6
All subjects,Female,2018,Aged 18,Non-cumulative percentages,367095,D,13.9
All subjects,Female,2018,Aged 18,Non-cumulative percentages,367095,E,5.3
All subjects,Female,2018,All ages,Cumulative percentages,409780,A and above,26
All subjects,Female,2018,All ages,Cumulative percentages,409780,A*,7.6
All subjects,Female,2018,All ages,Cumulative percentages,409780,B and above,53.8
All subjects,Female,2018,All ages,Cumulative percentages,409780,C and above,78.4
All subjects,Female,2018,All ages,Cumulative percentages,409780,D and above,92.5
All subjects,Female,2018,All ages,Cumulative percentages,409780,E and above,98
All subjects,Female,2018,All ages,Non-cumulative percentages,409780,A,18.4
All subjects,Female,2018,All ages,Non-cumulative percentages,409780,A*,7.6
All subjects,Female,2018,All ages,Non-cumulative percentages,409780,B,27.8
All subjects,Female,2018,All ages,Non-cumulative percentages,409780,C,24.6
All subjects,Female,2018,All ages,Non-cumulative percentages,409780,D,14.1
All subjects,Female,2018,All ages,Non-cumulative percentages,409780,E,5.5
All subjects,Female,2019,Aged 18,Cumulative percentages,364035,A and above,25.4
All subjects,Female,2019,Aged 18,Cumulative percentages,364035,A*,7.4
All subjects,Female,2019,Aged 18,Cumulative percentages,364035,B and above,53.2
All subjects,Female,2019,Aged 18,Cumulative percentages,364035,C and above,78
All subjects,Female,2019,Aged 18,Cumulative percentages,364035,D and above,92.4
All subjects,Female,2019,Aged 18,Cumulative percentages,364035,E and above,98.3
All subjects,Female,2019,Aged 18,Non-cumulative percentages,364035,A,18
All subjects,Female,2019,Aged 18,Non-cumulative percentages,364035,A*,7.4
All subjects,Female,2019,Aged 18,Non-cumulative percentages,364035,B,27.8
All subjects,Female,2019,Aged 18,Non-cumulative percentages,364035,C,24.8
All subjects,Female,2019,Aged 18,Non-cumulative percentages,364035,D,14.4
All subjects,Female,2019,Aged 18,Non-cumulative percentages,364035,E,5.8
All subjects,Female,2019,All ages,Cumulative percentages,404370,A and above,25.1
All subjects,Female,2019,All ages,Cumulative percentages,404370,A*,7.3
All subjects,Female,2019,All ages,Cumulative percentages,404370,B and above,52.5
All subjects,Female,2019,All ages,Cumulative percentages,404370,C and above,77.2
All subjects,Female,2019,All ages,Cumulative percentages,404370,D and above,91.9
All subjects,Female,2019,All ages,Cumulative percentages,404370,E and above,98
All subjects,Female,2019,All ages,Non-cumulative percentages,404370,A,17.8
All subjects,Female,2019,All ages,Non-cumulative percentages,404370,A*,7.3
All subjects,Female,2019,All ages,Non-cumulative percentages,404370,B,27.4
All subjects,Female,2019,All ages,Non-cumulative percentages,404370,C,24.7
All subjects,Female,2019,All ages,Non-cumulative percentages,404370,D,14.7
All subjects,Female,2019,All ages,Non-cumulative percentages,404370,E,6.1
All subjects,Female,2020,Aged 18,Cumulative percentages,365005,A and above,39.7
