,year,country,cluster,pop,life_expect,fertility
63,1995,Bahamas,3,275303,68.472,2.4
64,2000,Bahamas,3,290075,71.068,2.1111
65,2005,Bahamas,3,301790,73.495,2.0221
66,1955,Bangladesh,0,49601520,39.348,6.76
67,1960,Bangladesh,0,54621538,41.216,6.85
68,1965,Bangladesh,0,60332117,43.453,6.6
69,1970,Bangladesh,0,67402621,45.252,6.15
70,1975,Bangladesh,0,76253310,46.923,5.6
71,1980,Bangladesh,0,88076996,50.009,5.25
72,1985,Bangladesh,0,99752733,52.819,4.629
73,1990,Bangladesh,0,109896945,56.018,4.117
74,1995,Bangladesh,0,119186448,59.412,3.5042999999999997
75,2000,Bangladesh,0,130406594,62.013,3.224
76,2005,Bangladesh,0,144319628,64.062,2.826
77,1955,Barbados,3,227255,62.57,4.67
78,1960,Barbados,3,232339,65.87,4.26
79,1965,Barbados,3,234980,67.62,3.45
80,1970,Barbados,3,238756,69.42,2.74
81,1975,Barbados,3,247147,71.27,2.19
82,1980,Barbados,3,251966,72.695,1.92
83,1985,Barbados,3,257446,74.027,1.75
84,1990,Barbados,3,262624,74.894,1.6
85,1995,Barbados,3,267907,74.912,1.5
86,2000,Barbados,3,273483,75.97,1.5
87,2005,Barbados,3,278870,77.296,1.5
88,1955,Belgium,1,8868475,69.24,2.496
89,1960,Belgium,1,9118700,70.25,2.644
90,1965,Belgium,1,9448100,70.94,2.392
91,1970,Belgium,1,9637800,71.44,2.015
92,1975,Belgium,1,9794800,72.8,1.705
93,1980,Belgium,1,9846800,73.93,1.595
94,1985,Belgium,1,9858200,75.35,1.5590000000000002
95,1990,Belgium,1,9969310,76.46,1.613
96,1995,Belgium,1,10155459,77.53,1.604
97,2000,Belgium,1,10263618,78.32,1.638
98,2005,Belgium,1,10364388,79.441,1.646
99,1955,Bolivia,3,3074311,41.89,6.75
100,1960,Bolivia,3,3434073,43.428,6.63
101,1965,Bolivia,3,3853315,45.032,6.5600000000000005
102,1970,Bolivia,3,4346218,46.714,6.5
103,1975,Bolivia,3,4914316,50.023,5.8
104,1980,Bolivia,3,5441298,53.859,5.2995
105,1985,Bolivia,3,5934935,57.251,5.0
106,1990,Bolivia,3,6573900,59.957,4.8
107,1995,Bolivia,3,7376582,62.05,4.324
108,2000,Bolivia,3,8152620,63.883,3.9585
109,2005,Bolivia,3,8857870,65.554,3.5
110,1955,Brazil,3,61773546,53.285,6.1501
111,1960,Brazil,3,71694810,55.665,6.1501
112,1965,Brazil,3,83092908,57.632,5.38
113,1970,Brazil,3,95684297,59.504,4.7175
114,1975,Brazil,3,108823732,61.489,4.305
115,1980,Brazil,3,122958132,63.336,3.8
116,1985,Brazil,3,137302933,65.205,3.1
117,1990,Brazil,3,151083809,67.057,2.6
118,1995,Brazil,3,163542501,69.388,2.45
119,2000,Brazil,3,175552771,71.006,2.345
120,2005,Brazil,3,186112794,72.39,2.245
121,1955,Canada,3,16050356,69.96,3.882
122,1960,Canada,3,18266765,71.3,3.675
123,1965,Canada,3,20071104,72.13,2.61
124,1970,Canada,3,21749986,72.88,1.976
125,1975,Canada,3,23209200,74.21,1.734
126,1980,Canada,3,24593300,75.76,1.634
127,1985,Canada,3,25941600,76.86,1.616
128,1990,Canada,3,27790600,77.95,1.694
129,1995,Canada,3,29619002,78.61,1.564
130,2000,Canada,3,31278097,79.77,1.522
131,2005,Canada,3,32805041,80.653,1.5270000000000001
132,1955,Chile,3,6743269,56.074,5.486
133,1960,Chile,3,7585349,57.924,5.4385
134,1965,Chile,3,8509950,60.523,4.4405
135,1970,Chile,3,9368558,63.441,3.63
136,1975,Chile,3,10251542,67.052,2.803
137,1980,Chile,3,11093718,70.565,2.6710000000000003
138,1985,Chile,3,12066701,72.492,2.65
139,1990,Chile,3,13127760,74.126,2.55
140,1995,Chile,3,14205449,75.816,2.21
141,2000,Chile,3,15153450,77.86,2.0
142,2005,Chile,3,15980912,78.553,1.944
143,1955,China,4,608655000,50.54896,5.59
144,1960,China,4,667070000,44.50136,5.72
145,1965,China,4,715185000,58.38112,6.06
146,1970,China,4,818315000,63.11888,4.86
147,1975,China,4,916395000,63.96736,3.32
148,1980,China,4,981235000,65.525,2.55
149,1985,China,4,1051040000,67.274,2.46
150,1990,China,4,1135185000,68.69,1.92
151,1995,China,4,1204855000,70.426,1.7810000000000001
152,2000,China,4,1262645000,72.028,1.7000000000000002
153,2005,China,4,1303182268,72.961,1.725
154,1955,Colombia,3,13588405,55.118,6.76
155,1960,Colombia,3,15952727,57.863,6.76
156,1965,Colombia,3,18646175,59.963,6.18
157,1970,Colombia,3,21429658,61.623,5.0005
158,1975,Colombia,3,24114177,63.837,4.3385
159,1980,Colombia,3,26582811,66.653,3.685
160,1985,Colombia,3,29678395,67.768,3.172
161,1990,Colombia,3,32858579,68.421,2.93005
162,1995,Colombia,3,36280883,70.313,2.7
163,2000,Colombia,3,39685655,71.682,2.4705
164,2005,Colombia,3,42954279,72.889,2.2205
165,1955,Costa Rica,3,1031782,60.026,7.1135
166,1960,Costa Rica,3,1248022,62.842,7.2245
167,1965,Costa Rica,3,1487605,65.424,5.801
168,1970,Costa Rica,3,1735523,67.849,4.346
169,1975,Costa Rica,3,1991580,70.75,3.7755
170,1980,Costa Rica,3,2299124,73.45,3.527
171,1985,Costa Rica,3,2643808,74.752,3.374
172,1990,Costa Rica,3,3027175,75.713,2.9450000000000003
173,1995,Costa Rica,3,3383786,77.26,2.5835
174,2000,Costa Rica,3,3710558,78.123,2.2815
175,2005,Costa Rica,3,4016173,78.782,2.0985
176,1955,Croatia,1,3955526,64.77,2.42
177,1960,Croatia,1,4036145,67.13,2.27
178,1965,Croatia,1,4133313,68.5,2.09
179,1970,Croatia,1,4205389,69.61,1.96
180,1975,Croatia,1,4255000,70.64,2.02
181,1980,Croatia,1,4383000,70.46,1.96
182,1985,Croatia,1,4457874,71.52,1.8399999999999999
183,1990,Croatia,1,4508347,72.527,1.52
184,1995,Croatia,1,4496683,73.68,1.537
185,2000,Croatia,1,4410830,74.876,1.348
186,2005,Croatia,1,4495904,75.748,1.346
187,1955,Cuba,3,6381106,62.325,3.6995
188,1960,Cuba,3,7027210,65.246,4.6805
189,1965,Cuba,3,7809916,68.29,4.3
190,1970,Cuba,3,8542746,70.723,3.6
191,1975,Cuba,3,9290074,72.649,2.15
192,1980,Cuba,3,9652975,73.717,1.8495
193,1985,Cuba,3,10078658,74.174,1.8495
194,1990,Cuba,3,10544793,74.414,1.6505
195,1995,Cuba,3,10896802,76.151,1.6095000000000002
196,2000,Cuba,3,11134273,77.158,1.63
197,2005,Cuba,3,11346670,78.273,1.49
198,1955,Dominican Republic,3,2737257,49.828,7.6405
199,1960,Dominican Republic,3,3231488,53.459,7.3505
200,1965,Dominican Republic,3,3805881,56.751,6.6495
201,1970,Dominican Republic,3,4422755,59.631,5.71
202,1975,Dominican Republic,3,5048499,61.788,4.76
203,1980,Dominican Republic,3,5696855,63.727,4.0
204,1985,Dominican Republic,3,6377765,66.046,3.47
205,1990,Dominican Republic,3,7077651,68.457,3.1995
206,1995,Dominican Republic,3,7730224,69.957,3.05
207,2000,Dominican Republic,3,8385828,70.847,2.95
208,2005,Dominican Republic,3,9049595,72.235,2.81
209,1955,Ecuador,3,3842399,51.356,6.7
210,1960,Ecuador,3,4415956,54.64,6.7
211,1965,Ecuador,3,5117779,56.678,6.5
212,1970,Ecuador,3,5939246,58.796,6.0005
213,1975,Ecuador,3,6871698,61.31,5.4005
214,1980,Ecuador,3,7920499,64.342,4.7005
215,1985,Ecuador,3,9061664,67.231,4.0
216,1990,Ecuador,3,10318036,69.613,3.4005
217,1995,Ecuador,3,11438004,72.312,3.1
218,2000,Ecuador,3,12505204,74.173,2.8175
219,2005,Ecuador,3,13363593,74.994,2.578
220,1955,Egypt,5,23855527,44.444,6.97
221,1960,Egypt,5,26846610,46.992,7.073
222,1965,Egypt,5,30265148,49.293,6.5600000000000005
223,1970,Egypt,5,33574026,51.137,5.855
224,1975,Egypt,5,36952499,53.319,5.609
225,1980,Egypt,5,42634215,56.006,5.332
226,1985,Egypt,5,50052381,59.797,4.833
227,1990,Egypt,5,56694413,63.674,3.908
228,1995,Egypt,5,63321615,67.217,3.5
229,2000,Egypt,5,70492342,69.806,3.174
230,2005,Egypt,5,77505756,71.338,2.891
231,1955,El Salvador,3,2221139,48.57,6.8065
232,1960,El Salvador,3,2581583,52.307,6.8469999999999995
233,1965,El Salvador,3,3017852,55.855,6.621
234,1970,El Salvador,3,3603907,58.207,6.0995
235,1975,El Salvador,3,4071179,56.696,5.5996
236,1980,El Salvador,3,4566199,56.604,4.5
237,1985,El Salvador,3,4664361,63.154,3.901
238,1990,El Salvador,3,5099884,66.798,3.52
239,1995,El Salvador,3,5568437,69.535,3.17
240,2000,El Salvador,3,6122515,70.734,2.883
241,2005,El Salvador,3,6704932,71.878,2.6825
242,1955,Finland,1,4234900,67.49,2.769
243,1960,Finland,1,4429600,68.75,2.66
244,1965,Finland,1,4563732,69.83,2.191
245,1970,Finland,1,4606307,70.87,1.623
246,1975,Finland,1,4711439,72.52,1.663
247,1980,Finland,1,4779535,74.55,1.685
248,1985,Finland,1,4901783,74.83,1.6600000000000001
249,1990,Finland,1,4986431,75.7,1.819
250,1995,Finland,1,5104654,77.13,1.7429999999999999
251,2000,Finland,1,5168595,78.37,1.754
252,2005,Finland,1,5223442,79.313,1.8250000000000002
253,1955,France,1,43427669,68.93,2.7119999999999997
254,1960,France,1,45670000,70.51,2.85
255,1965,France,1,48763000,71.55,2.607
256,1970,France,1,50787000,72.38,2.31
257,1975,France,1,52758427,73.83,1.862
258,1980,France,1,53869743,74.89,1.866
259,1985,France,1,55171224,76.34,1.8050000000000002
260,1990,France,1,56735161,77.46,1.713
261,1995,France,1,58149727,78.64,1.7624
262,2000,France,1,59381628,79.59,1.8833000000000002
263,2005,France,1,60656178,80.657,1.8916
264,1955,Georgia,1,3827154,62.625,2.909
265,1960,Georgia,1,4146570,64.644,2.979
266,1965,Georgia,1,4464959,66.654,2.6109999999999998
267,1970,Georgia,1,4694491,68.158,2.601
268,1975,Georgia,1,4897656,69.634,2.39
269,1980,Georgia,1,5045697,69.638,2.269
270,1985,Georgia,1,5192957,70.45,2.263
271,1990,Georgia,1,5426207,70.465,1.9500000000000002
272,1995,Georgia,1,5012952,70.49,1.58
273,2000,Georgia,1,4777209,70.476,1.478
274,2005,Georgia,1,4677401,70.987,1.407
275,1955,Germany,1,70195612,69.1,2.3
276,1960,Germany,1,72480869,70.3,2.49
277,1965,Germany,1,75638851,70.8,2.32
278,1970,Germany,1,77783164,71.0,1.6400000000000001
279,1975,Germany,1,78682325,72.5,1.52
280,1980,Germany,1,78297904,73.8,1.46
281,1985,Germany,1,77684907,74.847,1.43
282,1990,Germany,1,79380394,76.07,1.31
283,1995,Germany,1,81653702,77.34,1.34
284,2000,Germany,1,82187909,78.67,1.346
285,2005,Germany,1,82431390,79.406,1.3599999999999999
286,1955,Greece,1,7965538,67.86,2.27
287,1960,Greece,1,8327405,69.51,2.2
288,1965,Greece,1,8550333,71.0,2.38
289,1970,Greece,1,8792806,72.34,2.32
290,1975,Greece,1,9046542,73.68,2.32
291,1980,Greece,1,9642505,75.24,1.96
292,1985,Greece,1,9923253,76.67,1.53
293,1990,Greece,1,10129603,77.03,1.37
294,1995,Greece,1,10457554,77.869,1.296
295,2000,Greece,1,10559110,78.256,1.2770000000000001
296,2005,Greece,1,10668354,79.483,1.325
297,1955,Grenada,3,84621,63.114,6.7
298,1960,Grenada,3,90148,63.608,6.4
299,1965,Grenada,3,93290,64.091,4.8
300,1970,Grenada,3,95410,64.577,4.6
301,1975,Grenada,3,95819,65.035,4.3
302,1980,Grenada,3,90164,65.503,4.23
303,1985,Grenada,3,92203,66.002,4.14
304,1990,Grenada,3,92360,66.469,3.26
305,1995,Grenada,3,90603,66.986,2.814
306,2000,Grenada,3,89312,67.746,2.429
307,2005,Grenada,3,89502,68.724,2.302
308,1955,Haiti,3,3376419,40.696,6.3
309,1960,Haiti,3,3722743,43.59,6.3
310,1965,Haiti,3,4137405,46.243,6.0
311,1970,Haiti,3,4604915,48.042,5.6005
312,1975,Haiti,3,4828338,49.923,5.8
313,1980,Haiti,3,5029725,51.461,6.2099
314,1985,Haiti,3,5517977,53.636,5.69985
315,1990,Haiti,3,6126101,55.089,5.14985
316,1995,Haiti,3,6675578,56.671,4.61995
317,2000,Haiti,3,7306302,58.137,4.0
318,2005,Haiti,3,8121622,60.916,3.5445
319,1955,Hong Kong,4,2490400,64.75,4.72
320,1960,Hong Kong,4,3075300,67.65,5.31
321,1965,Hong Kong,4,3597900,70.0,4.02
322,1970,Hong Kong,4,3959000,72.0,2.89
323,1975,Hong Kong,4,4395800,73.6,2.32
324,1980,Hong Kong,4,5063100,75.45,1.8
325,1985,Hong Kong,4,5456200,76.2,1.31
326,1990,Hong Kong,4,5687959,77.601,1.288
327,1995,Hong Kong,4,6225347,80.0,1.08
328,2000,Hong Kong,4,6658720,81.495,0.9400000000000001
329,2005,Hong Kong,4,6898686,82.208,0.966
330,1955,Iceland,1,158044,73.47,4.023
331,1960,Iceland,1,175860,73.68,3.943
332,1965,Iceland,1,192288,73.73,3.154
333,1970,Iceland,1,204104,74.46,2.843
334,1975,Iceland,1,218031,76.11,2.287
335,1980,Iceland,1,228161,76.99,2.248
336,1985,Iceland,1,241403,77.23,2.116
337,1990,Iceland,1,254719,78.77,2.194
338,1995,Iceland,1,267527,78.95,2.056
339,2000,Iceland,1,281043,80.5,1.9929999999999999
340,2005,Iceland,1,296737,81.757,2.052
341,1955,India,0,393000000,40.249,5.8961
342,1960,India,0,434000000,43.605,5.8216
343,1965,India,0,485000000,47.193,5.6058
344,1970,India,0,541000000,50.651,5.264
345,1975,India,0,607000000,54.208,4.8888
346,1980,India,0,679000000,56.596,4.4975
347,1985,India,0,755000000,58.553,4.15
348,1990,India,0,839000000,60.223,3.8648
349,1995,India,0,927000000,61.765,3.4551
350,2000,India,0,1007702000,62.879,3.1132
351,2005,India,0,1080264388,64.698,2.8073
352,1955,Indonesia,4,86807000,39.918,5.672
353,1960,Indonesia,4,95254000,42.518,5.62
354,1965,Indonesia,4,105093000,45.964,5.568
355,1970,Indonesia,4,116044000,49.203,5.3
356,1975,Indonesia,4,130297000,52.702,4.73
357,1980,Indonesia,4,146995000,56.159,4.109
358,1985,Indonesia,4,163403000,60.137,3.4
359,1990,Indonesia,4,178500000,62.681,2.9
360,1995,Indonesia,4,194755000,66.041,2.55
361,2000,Indonesia,4,206265000,68.588,2.3761
362,2005,Indonesia,4,218465000,70.65,2.182
363,1955,Iran,5,18729000,47.181,7.0
364,1960,Iran,5,21577000,49.325,7.0
365,1965,Iran,5,25000000,52.469,6.8
366,1970,Iran,5,28933000,55.234,6.4
367,1975,Iran,5,33379000,57.702,6.5
368,1980,Iran,5,39583397,59.62,6.63
369,1985,Iran,5,48439952,63.04,5.62
370,1990,Iran,5,57035717,65.742,4.328
371,1995,Iran,5,61628116,68.042,2.534
372,2000,Iran,5,65660289,69.451,2.124
373,2005,Iran,5,68017860,70.964,2.04
374,1955,Iraq,5,5903253,48.437,7.3
375,1960,Iraq,5,6822030,51.457,7.25
376,1965,Iraq,5,7970746,54.459,7.2
377,1970,Iraq,5,9413671,56.95,7.15
378,1975,Iraq,5,11117804,60.413,6.8
379,1980,Iraq,5,13232839,62.038,6.35
380,1985,Iraq,5,15693620,65.044,6.15
381,1990,Iraq,5,18134702,59.461,5.7
382,1995,Iraq,5,19557247,58.811,5.37
383,2000,Iraq,5,22675617,57.046,4.858
384,2005,Iraq,5,26074906,59.545,4.264
385,1955,Ireland,1,2916133,68.9,3.68
386,1960,Ireland,1,2832000,70.29,3.979
387,1965,Ireland,1,2876000,71.08,3.873
388,1970,Ireland,1,2950100,71.28,3.815
389,1975,Ireland,1,3177300,72.03,3.478
390,1980,Ireland,1,3401000,73.1,2.877
391,1985,Ireland,1,3540000,74.36,2.287
392,1990,Ireland,1,3508200,75.467,1.9689999999999999
393,1995,Ireland,1,3613890,76.122,1.9
394,2000,Ireland,1,3791690,77.783,1.9689999999999999
395,2005,Ireland,1,4015676,78.885,1.964
396,1955,Israel,5,1772032,67.84,3.893
397,1960,Israel,5,2141495,69.39,3.852
398,1965,Israel,5,2578184,70.75,3.79
399,1970,Israel,5,2903434,71.63,3.77
400,1975,Israel,5,3354242,73.06,3.409
401,1980,Israel,5,3737473,74.45,3.125
402,1985,Israel,5,4074965,75.6,3.051
403,1990,Israel,5,4512068,76.93,2.933
404,1995,Israel,5,5305120,78.269,2.942
405,2000,Israel,5,5842454,79.696,2.906
406,2005,Israel,5,6276883,80.745,2.75
407,1955,Italy,1,48633000,67.81,2.35
408,1960,Italy,1,50197600,69.24,2.498
409,1965,Italy,1,51987100,71.06,2.493
410,1970,Italy,1,53661100,72.19,2.325
411,1975,Italy,1,55571894,73.48,1.889
412,1980,Italy,1,56451247,74.98,1.53
413,1985,Italy,1,56731215,76.42,1.349
414,1990,Italy,1,56742886,77.44,1.275
415,1995,Italy,1,57274531,78.82,1.213
416,2000,Italy,1,57719337,80.24,1.286
417,2005,Italy,1,58103033,80.546,1.379
418,1955,Jamaica,3,1488805,62.61,5.08
419,1960,Jamaica,3,1631784,65.61,5.64
420,1965,Jamaica,3,1777397,67.51,5.78
421,1970,Jamaica,3,1943787,69.0,5.0
422,1975,Jamaica,3,2104879,70.11,4.0
423,1980,Jamaica,3,2228803,71.21,3.55
424,1985,Jamaica,3,2318652,71.77,3.1
425,1990,Jamaica,3,2347922,71.766,2.84
426,1995,Jamaica,3,2469389,72.262,2.67
427,2000,Jamaica,3,2615467,72.047,2.628
428,2005,Jamaica,3,2735520,72.567,2.4289
429,1955,Japan,4,89815060,65.5,2.08
430,1960,Japan,4,94091638,68.73,2.02
431,1965,Japan,4,98882534,71.43,2.0
432,1970,Japan,4,104344973,73.42,2.07
433,1975,Japan,4,111573116,75.38,1.81
434,1980,Japan,4,116807309,77.11,1.76
435,1985,Japan,4,120754335,78.67,1.6600000000000001
436,1990,Japan,4,123537399,79.36,1.49
437,1995,Japan,4,125341354,80.69,1.3900000000000001
438,2000,Japan,4,126699784,82.0,1.291
439,2005,Japan,4,127417244,82.603,1.27
440,1955,Kenya,2,7033999,44.686,7.816
441,1960,Kenya,2,8156827,47.949,8.12
442,1965,Kenya,2,9549179,50.654,8.12
443,1970,Kenya,2,11247182,53.559,8.0
444,1975,Kenya,2,13433414,56.155,7.6
445,1980,Kenya,2,16331401,58.766,7.2
446,1985,Kenya,2,19763285,59.339,6.5
447,1990,Kenya,2,23358413,59.285,5.4
448,1995,Kenya,2,27060142,54.407,5.0
449,2000,Kenya,2,29985839,50.992,5.0
450,2005,Kenya,2,33829590,54.11,4.959
451,1955,South Korea,4,8839427,54.081,3.8
452,1960,South Korea,4,10391909,56.656,3.41
453,1965,South Korea,4,11868751,59.942,4.09
454,1970,South Korea,4,13911902,63.983,3.7199999999999998
455,1975,South Korea,4,15801308,67.159,2.58
456,1980,South Korea,4,17113626,69.1,2.93
457,1985,South Korea,4,18481420,70.647,2.45
458,1990,South Korea,4,20018546,69.978,2.35
459,1995,South Korea,4,21561856,67.727,2.0938
460,2000,South Korea,4,21647682,66.662,1.9173
461,2005,South Korea,4,22912177,67.297,1.85
462,1955,North Korea,4,21551834,52.681,6.332
463,1960,North Korea,4,24784140,55.292,5.63
464,1965,North Korea,4,28705000,57.716,4.708
465,1970,North Korea,4,32241000,62.612,4.281
466,1975,North Korea,4,35281000,64.766,2.919
467,1980,North Korea,4,38124000,67.123,2.234
468,1985,North Korea,4,40806000,69.81,1.601
469,1990,North Korea,4,42869000,72.244,1.6960000000000002
470,1995,North Korea,4,45264146,74.647,1.514
471,2000,North Korea,4,47351083,77.045,1.242
472,2005,North Korea,4,48640671,78.623,1.21
473,1955,Lebanon,5,1560985,59.489,5.72
474,1960,Lebanon,5,1786235,62.094,5.689
475,1965,Lebanon,5,2057945,63.87,5.336
476,1970,Lebanon,5,2383029,65.421,4.78
477,1975,Lebanon,5,3098159,66.099,4.311
478,1980,Lebanon,5,3085876,66.983,3.895
479,1985,Lebanon,5,3088235,67.926,3.313
480,1990,Lebanon,5,3147267,69.292,3.0
481,1995,Lebanon,5,3334733,70.265,2.6950000000000003
482,2000,Lebanon,5,3578036,71.028,2.319
483,2005,Lebanon,5,3826018,71.993,2.209
484,1955,Mexico,3,32929914,55.19,6.8
485,1960,Mexico,3,38578505,58.299,6.7495
486,1965,Mexico,3,45142399,60.11,6.7495
487,1970,Mexico,3,52775158,62.361,6.5
488,1975,Mexico,3,60678045,65.032,5.2505
489,1980,Mexico,3,68347479,67.405,4.25
490,1985,Mexico,3,76767225,69.498,3.6295
491,1990,Mexico,3,84913652,71.455,3.1905
492,1995,Mexico,3,92880353,73.67,2.6705
493,2000,Mexico,3,99926620,74.902,2.4005
494,2005,Mexico,3,106202903,76.195,2.211
495,1955,Netherlands,1,10750842,72.99,3.095
496,1960,Netherlands,1,11486000,73.23,3.168
497,1965,Netherlands,1,12292000,73.82,2.797
498,1970,Netherlands,1,13032335,73.75,2.059
499,1975,Netherlands,1,13653438,75.24,1.596
500,1980,Netherlands,1,14143901,76.05,1.5150000000000001
501,1985,Netherlands,1,14491380,76.83,1.5550000000000002
502,1990,Netherlands,1,14951510,77.42,1.583
503,1995,Netherlands,1,15459054,78.03,1.6
504,2000,Netherlands,1,15907853,78.53,1.726
505,2005,Netherlands,1,16407491,79.762,1.721
506,1955,New Zealand,4,2136168,70.26,4.07
507,1960,New Zealand,4,2371746,71.24,4.022
508,1965,New Zealand,4,2640400,71.52,3.348
509,1970,New Zealand,4,2828050,71.89,2.843
510,1975,New Zealand,4,3117800,72.22,2.178
511,1980,New Zealand,4,3170150,73.84,1.963
512,1985,New Zealand,4,3298050,74.32,2.053
513,1990,New Zealand,4,3359604,76.33,2.061
514,1995,New Zealand,4,3565990,77.55,1.952
515,2000,New Zealand,4,3819762,79.11,1.964
516,2005,New Zealand,4,4035461,80.204,1.994
517,1955,Nigeria,2,35458978,37.802,6.9
518,1960,Nigeria,2,39914593,39.36,6.9
519,1965,Nigeria,2,45020052,41.04,6.9
520,1970,Nigeria,2,51027516,42.821,6.9
521,1975,Nigeria,2,58522112,44.514,6.9
522,1980,Nigeria,2,68550274,45.826,6.9
523,1985,Nigeria,2,77573154,46.886,6.834
524,1990,Nigeria,2,88510354,47.472,6.635
525,1995,Nigeria,2,100960105,47.464,6.246
526,2000,Nigeria,2,114306700,46.608,5.845
527,2005,Nigeria,2,128765768,46.859,5.322
528,1955,Norway,1,3427409,73.44,2.8369999999999997
529,1960,Norway,1,3581239,73.47,2.898
530,1965,Norway,1,3723153,74.08,2.719
531,1970,Norway,1,3877386,74.34,2.248
532,1975,Norway,1,4007313,75.37,1.81
533,1980,Norway,1,4085620,75.97,1.687
534,1985,Norway,1,4152419,75.89,1.8
535,1990,Norway,1,4242006,77.32,1.8860000000000001
536,1995,Norway,1,4359101,78.32,1.853
537,2000,Norway,1,4492400,79.05,1.8010000000000002
538,2005,Norway,1,4593041,80.196,1.8479999999999999
539,1955,Pakistan,0,44434445,45.557,6.6
540,1960,Pakistan,0,50386898,47.67,6.6
541,1965,Pakistan,0,57494940,49.8,6.6
542,1970,Pakistan,0,65705964,51.929,6.6
543,1975,Pakistan,0,74711541,54.043,6.6
544,1980,Pakistan,0,85219117,56.158,6.6
545,1985,Pakistan,0,99060352,58.245,6.66
546,1990,Pakistan,0,114578478,60.838,5.8
547,1995,Pakistan,0,128690285,61.818,4.9596
548,2000,Pakistan,0,146342958,63.61,3.9936
549,2005,Pakistan,0,162419946,65.483,3.5211
550,1955,Peru,3,8671500,46.263,6.853
551,1960,Peru,3,9931000,49.096,6.853
552,1965,Peru,3,11467300,51.445,6.5600000000000005
553,1970,Peru,3,13192800,55.448,6.0
554,1975,Peru,3,15161199,58.447,5.378
555,1980,Peru,3,17295298,61.406,4.65
556,1985,Peru,3,19348926,64.134,4.1
557,1990,Peru,3,21511443,66.458,3.7
558,1995,Peru,3,23846388,68.386,3.0995
559,2000,Peru,3,25979722,69.906,2.7005
560,2005,Peru,3,27925628,71.421,2.5065
561,1955,Philippines,4,24553055,51.334,7.13
562,1960,Philippines,4,28528939,54.757,6.85
563,1965,Philippines,4,33267569,56.393,6.5
564,1970,Philippines,4,38603696,58.065,6.0
565,1975,Philippines,4,44336842,60.06,5.5
566,1980,Philippines,4,50940182,62.082,4.95
567,1985,Philippines,4,57288037,64.151,4.55
568,1990,Philippines,4,64318120,66.458,4.143
569,1995,Philippines,4,71717437,68.564,3.7248
