Country name,Year,Population growth rate
Algeria,1971,2.28
Algeria,1972,2.34
Algeria,1973,2.41
Algeria,1974,2.5
Algeria,1975,4.86
Algeria,1976,4.78
Algeria,1977,2.8
Algeria,1978,2.93
Algeria,1979,3.04
Algeria,1980,3.17
Algeria,1981,3.26
Algeria,1982,3.34
Algeria,1983,3.37
Algeria,1984,3.39
Algeria,1985,3.4
Algeria,1986,3.26
Algeria,1987,2.8
Algeria,1988,2.69
Algeria,1989,2.57
Algeria,1990,2.42
Algeria,1991,2.35
Algeria,1992,2.3
Algeria,1993,2.18
Algeria,1994,2.03
Algeria,1995,1.81
Algeria,1996,1.72
Algeria,1997,1.64
Algeria,1998,1.38
Algeria,1999,1.42
Algeria,2000,1.39
Algeria,2001,1.36
Algeria,2002,1.34
Algeria,2003,1.37
Algeria,2004,1.44
Algeria,2005,1.29
Algeria,2006,1.59
Algeria,2007,1.66
Algeria,2008,1.75
Algeria,2009,1.84
Algeria,2010,1.88
Algeria,2011,1.92
Algeria,2012,1.97
Algeria,2013,1.96
Algeria,2014,1.99
Algeria,2015,2.01
Algeria,2016,1.98
Algeria,2017,1.93
Algeria,2018,1.87
Algeria,2019,1.81
Algeria,2020,1.66
Algeria,2021,1.66
American Samoa,1950,3.32
American Samoa,1951,0.8
American Samoa,1952,0.6
American Samoa,1953,0.51
American Samoa,1954,0.38
American Samoa,1955,0.32
American Samoa,1956,0.44
American Samoa,1957,-0.09
American Samoa,1958,-0.1
American Samoa,1959,-0.24
American Samoa,1960,2.26
American Samoa,1961,3.04
American Samoa,1962,3.12
American Samoa,1963,3.14
American Samoa,1964,3.2
American Samoa,1965,3.19
American Samoa,1966,2.97
American Samoa,1967,2.96
American Samoa,1968,3.07
American Samoa,1969,3
American Samoa,1970,2.09
American Samoa,1971,1.71
American Samoa,1972,1.67
American Samoa,1973,1.63
American Samoa,1974,1.73
American Samoa,1975,2.09
American Samoa,1976,2.09
American Samoa,1977,1.96
American Samoa,1978,1.97
American Samoa,1979,1.92
American Samoa,1980,3.24
American Samoa,1981,3.77
American Samoa,1982,3.76
American Samoa,1983,3.83
American Samoa,1984,3.83
American Samoa,1985,3.86
American Samoa,1986,3.84
American Samoa,1987,3.88
American Samoa,1988,3.86
American Samoa,1989,3.87
American Samoa,1990,2.65
American Samoa,1991,2.2
American Samoa,1992,2.18
American Samoa,1993,2.15
American Samoa,1994,2.16
American Samoa,1995,2.05
American Samoa,1996,2.02
American Samoa,1997,1.9
American Samoa,1998,1.76
American Samoa,1999,1.71
American Samoa,2000,0.49
American Samoa,2001,-0.17
American Samoa,2002,-0.34
American Samoa,2003,-0.48
American Samoa,2004,-0.61
American Samoa,2005,-0.68
American Samoa,2006,-0.78
American Samoa,2007,-0.83
American Samoa,2008,-0.92
American Samoa,2009,-0.96
American Samoa,2010,-0.91
American Samoa,2011,-1.06
American Samoa,2012,-1.23
American Samoa,2013,-1.38
American Samoa,2014,-1.58
American Samoa,2015,-1.7
American Samoa,2016,-1.92
American Samoa,2017,-2.03
American Samoa,2018,-2.22
American Samoa,2019,-2.39
American Samoa,2020,-2.45
American Samoa,2021,-2.62
Andorra,1950,1.88
Andorra,1951,-8.04
Andorra,1952,-5.12
Andorra,1953,-0.24
Andorra,1954,9.55
Andorra,1955,9.29
Andorra,1956,9.1
Andorra,1957,8.75
Andorra,1958,8.59
Andorra,1959,8.34
Andorra,1960,8.06
Andorra,1961,7.69
Andorra,1962,7.37
Andorra,1963,7.11
Andorra,1964,6.78
Andorra,1965,6.53
Andorra,1966,7.44
Andorra,1967,8.36
Andorra,1968,7.94
Andorra,1969,7.5
Andorra,1970,7.25
Andorra,1971,6.96
Andorra,1972,6.74
Andorra,1973,6.5
Andorra,1974,6.28
Andorra,1975,5.94
Andorra,1976,5.69
Andorra,1977,5.31
Andorra,1978,4.93
Andorra,1979,4.49
Andorra,1980,3.95
Andorra,1981,3.64
Andorra,1982,4.86
Andorra,1983,4.44
Andorra,1984,4.04
Andorra,1985,3.55
Andorra,1986,4.46
Andorra,1987,4.25
Andorra,1988,4.05
Andorra,1989,3.79
Andorra,1990,3.56
Andorra,1991,3.29
Andorra,1992,3.27
Andorra,1993,3.16
Andorra,1994,3.1
Andorra,1995,3
Andorra,1996,0.86
Andorra,1997,0.8
Andorra,1998,0.75
Andorra,1999,0.68
Andorra,2000,0.66
Andorra,2001,4.44
Andorra,2002,4.3
Andorra,2003,4.16
Andorra,2004,3.88
Andorra,2005,3.51
Andorra,2006,-2.51
Andorra,2007,-2.68
Andorra,2008,-2.81
Andorra,2009,-3.07
Andorra,2010,-3.35
Andorra,2011,0.7
Andorra,2012,0.56
Andorra,2013,0.43
Andorra,2014,0.28
Andorra,2015,0.07
Andorra,2016,2.13
Andorra,2017,1.42
Andorra,2018,1.74
Andorra,2019,1.77
Andorra,2020,1.75
Andorra,2021,1.66
Angola,1950,2.02
Angola,1951,2.03
Angola,1952,2.06
Angola,1953,1.97
Angola,1954,1.85
Angola,1955,1.73
Angola,1956,1.64
Angola,1957,1.61
Angola,1958,1.56
Angola,1959,1.65
Angola,1960,1.63
Angola,1961,1.49
Angola,1962,1.43
Angola,1963,1.39
Angola,1964,1.22
Angola,1965,1
Angola,1966,0.75
Angola,1967,0.65
Angola,1968,0.74
Angola,1969,1.29
Angola,1970,2.09
Angola,1971,2.73
Angola,1972,3.25
Angola,1973,3.35
Angola,1974,3.36
Angola,1975,3.3
Angola,1976,3.25
Angola,1977,3.39
Angola,1978,3.41
Angola,1979,3.46
Angola,1980,3.55
Angola,1981,3.56
Angola,1982,3.62
Angola,1983,3.61
Angola,1984,3.61
Angola,1985,3.6
Angola,1986,3.53
Angola,1987,3.35
Angola,1988,3.39
Angola,1989,3.36
Angola,1990,3.33
Angola,1991,3.32
Angola,1992,3.18
Angola,1993,3.14
Angola,1994,3.25
Angola,1995,3.33
Angola,1996,3.33
Angola,1997,3.34
Angola,1998,3.22
Angola,1999,3.23
Angola,2000,3.26
Angola,2001,3.31
Angola,2002,3.36
Angola,2003,3.47
Angola,2004,3.54
Angola,2005,3.57
Angola,2006,3.61
Angola,2007,3.66
Angola,2008,3.68
Angola,2009,3.71
Angola,2010,3.76
Angola,2011,3.76
Angola,2012,3.76
Angola,2013,3.71
Angola,2014,3.66
Angola,2015,3.58
Angola,2016,3.59
Angola,2017,3.51
Angola,2018,3.42
Angola,2019,3.37
Angola,2020,3.17
Angola,2021,3.16
Anguilla,1950,5.06
Anguilla,1951,3.8
Anguilla,1952,2.22
Anguilla,1953,2.4
Anguilla,1954,2.21
Anguilla,1955,1.06
Anguilla,1956,0.19
Anguilla,1957,-0.02
Anguilla,1958,-0.31
Anguilla,1959,-0.62
Anguilla,1960,0.49
Anguilla,1961,1.02
Anguilla,1962,1.02
Anguilla,1963,0.95
Anguilla,1964,0.9
Anguilla,1965,0.76
Anguilla,1966,0.97
Anguilla,1967,0.88
Anguilla,1968,0.78
Anguilla,1969,0.88
Anguilla,1970,0.83
Anguilla,1971,0.63
Anguilla,1972,0.53
Anguilla,1973,0.5
Anguilla,1974,0.44
Anguilla,1975,0.6
Anguilla,1976,0.46
Anguilla,1977,0.23
Anguilla,1978,0.26
Anguilla,1979,0.11
Anguilla,1980,0.27
Anguilla,1981,0.06
Anguilla,1982,0.35
Anguilla,1983,0.15
Anguilla,1984,2.56
Anguilla,1985,3.75
Anguilla,1986,3.66
Anguilla,1987,3.7
Anguilla,1988,3.76
Anguilla,1989,3.83
Anguilla,1990,3.51
Anguilla,1991,3.59
Anguilla,1992,2.61
Anguilla,1993,2.6
Anguilla,1994,2.48
Anguilla,1995,2.68
Anguilla,1996,2.71
Anguilla,1997,2.68
Anguilla,1998,2.86
Anguilla,1999,2.92
Anguilla,2000,3.07
Anguilla,2001,2.23
Anguilla,2002,1.57
Anguilla,2003,1.58
Anguilla,2004,1.63
Anguilla,2005,1.6
Anguilla,2006,1.62
Anguilla,2007,1.59
Anguilla,2008,1.67
Anguilla,2009,1.68
Anguilla,2010,1.77
Anguilla,2011,0.8
Anguilla,2012,0.89
Anguilla,2013,2.7
Anguilla,2014,3.34
Anguilla,2015,2.33
Anguilla,2016,1.6
Anguilla,2017,1.11
Anguilla,2018,1.09
Anguilla,2019,1.5
Anguilla,2020,1.16
Anguilla,2021,0.99
Antigua and Barbuda,1950,2.14
Antigua and Barbuda,1951,2.05
Antigua and Barbuda,1952,2.05
Antigua and Barbuda,1953,1.96
Antigua and Barbuda,1954,1.99
Antigua and Barbuda,1955,1.96
Antigua and Barbuda,1956,1.92
Antigua and Barbuda,1957,1.92
Antigua and Barbuda,1958,1.94
Antigua and Barbuda,1959,1.92
Antigua and Barbuda,1960,1.88
Antigua and Barbuda,1961,1.36
Antigua and Barbuda,1962,1.34
Antigua and Barbuda,1963,1.34
Antigua and Barbuda,1964,1.7
Antigua and Barbuda,1965,1.62
Antigua and Barbuda,1966,1.62
Antigua and Barbuda,1967,1.66
Antigua and Barbuda,1968,1.69
Antigua and Barbuda,1969,1.74
Antigua and Barbuda,1970,0.69
Antigua and Barbuda,1971,0.09
Antigua and Barbuda,1972,-0.32
Antigua and Barbuda,1973,-0.4
Antigua and Barbuda,1974,-0.36
Antigua and Barbuda,1975,-0.21
Antigua and Barbuda,1976,0.07
Antigua and Barbuda,1977,0.33
Antigua and Barbuda,1978,0.33
Antigua and Barbuda,1979,0.54
Antigua and Barbuda,1980,0.33
Antigua and Barbuda,1981,0.24
Antigua and Barbuda,1982,0.23
Antigua and Barbuda,1983,0.32
Antigua and Barbuda,1984,-0.46
Antigua and Barbuda,1985,-0.5
Antigua and Barbuda,1986,-0.53
Antigua and Barbuda,1987,-0.58
Antigua and Barbuda,1988,-0.58
Antigua and Barbuda,1989,-0.51
Antigua and Barbuda,1990,-0.46
Antigua and Barbuda,1991,1.42
Antigua and Barbuda,1992,1.78
Antigua and Barbuda,1993,1.82
Antigua and Barbuda,1994,1.9
Antigua and Barbuda,1995,2.01
Antigua and Barbuda,1996,2.04
Antigua and Barbuda,1997,1.99
Antigua and Barbuda,1998,1.78
Antigua and Barbuda,1999,1.63
Antigua and Barbuda,2000,1.68
Antigua and Barbuda,2001,1.39
Antigua and Barbuda,2002,1.17
Antigua and Barbuda,2003,1.1
Antigua and Barbuda,2004,1.11
Antigua and Barbuda,2005,1.22
Antigua and Barbuda,2006,1.33
Antigua and Barbuda,2007,1.42
Antigua and Barbuda,2008,1.57
Antigua and Barbuda,2009,1.49
Antigua and Barbuda,2010,1.24
Antigua and Barbuda,2011,1.16
Antigua and Barbuda,2012,1.01
Antigua and Barbuda,2013,0.86
Antigua and Barbuda,2014,0.8
Antigua and Barbuda,2015,0.77
Antigua and Barbuda,2016,0.62
Antigua and Barbuda,2017,0.61
Antigua and Barbuda,2018,0.5
Antigua and Barbuda,2019,0.57
Antigua and Barbuda,2020,0.62
Antigua and Barbuda,2021,0.58
Argentina,1950,1.98
Argentina,1951,1.94
Argentina,1952,1.93
Argentina,1953,1.87
Argentina,1954,1.83
Argentina,1955,1.75
Argentina,1956,1.76
Argentina,1957,1.71
Argentina,1958,1.69
Argentina,1959,1.63
Argentina,1960,1.59
Argentina,1961,1.63
Argentina,1962,1.63
Argentina,1963,1.62
Argentina,1964,1.58
Argentina,1965,1.57
Argentina,1966,1.57
Argentina,1967,1.56
Argentina,1968,1.54
Argentina,1969,1.54
Argentina,1970,1.59
Argentina,1971,1.58
Argentina,1972,1.61
Argentina,1973,1.67
Argentina,1974,1.73
Argentina,1975,1.59
Argentina,1976,1.59
Argentina,1977,1.61
Argentina,1978,1.6
Argentina,1979,1.6
Argentina,1980,1.57
Argentina,1981,1.59
Argentina,1982,1.56
Argentina,1983,1.56
Argentina,1984,1.52
Argentina,1985,1.51
Argentina,1986,1.51
Argentina,1987,1.51
Argentina,1988,1.51
Argentina,1989,1.47
Argentina,1990,1.44
Argentina,1991,1.4
Argentina,1992,1.37
Argentina,1993,1.35
Argentina,1994,1.35
Argentina,1995,1.29
Argentina,1996,1.23
Argentina,1997,1.16
Argentina,1998,1.15
Argentina,1999,1.15
Argentina,2000,1.12
Argentina,2001,1.08
Argentina,2002,1.06
Argentina,2003,1
Argentina,2004,1.03
Argentina,2005,1.04
Argentina,2006,1.03
Argentina,2007,0.98
Argentina,2008,1
Argentina,2009,1.02
Argentina,2010,1.01
Argentina,2011,1.03
Argentina,2012,1.04
Argentina,2013,1.03
Argentina,2014,1.02
Argentina,2015,0.99
Argentina,2016,0.9
Argentina,2017,0.86
Argentina,2018,0.76
Argentina,2019,0.73
Argentina,2020,0.57
Argentina,2021,0.5
Armenia,1950,2.74
Armenia,1951,2.81
Armenia,1952,2.88
Armenia,1953,2.98
Armenia,1954,3.08
Armenia,1955,3.18
Armenia,1956,3.33
Armenia,1957,3.43
Armenia,1958,3.48
Armenia,1959,3.54
Armenia,1960,3.51
Armenia,1961,3.45
Armenia,1962,3.32
Armenia,1963,3.13
Armenia,1964,2.94
Armenia,1965,2.79
Armenia,1966,2.64
Armenia,1967,2.56
Armenia,1968,2.51
Armenia,1969,2.39
Armenia,1970,2.24
Armenia,1971,2.17
Armenia,1972,2.19
Armenia,1973,2.2
Armenia,1974,2.24
Armenia,1975,2.27
Armenia,1976,2.3
Armenia,1977,2.42
Armenia,1978,2.42
Armenia,1979,1.42
Armenia,1980,1.02
Armenia,1981,1.05
Armenia,1982,1.09
Armenia,1983,1.16
Armenia,1984,0.92
Armenia,1985,0.84
Armenia,1986,0.75
Armenia,1987,0.7
Armenia,1988,0.22
Armenia,1989,4.5
Armenia,1990,1.73
Armenia,1991,1.68
Armenia,1992,-4.11
Armenia,1993,-2.53
Armenia,1994,-2.36
Armenia,1995,-0.67
Armenia,1996,-0.78
Armenia,1997,-0.9
Armenia,1998,-1
Armenia,1999,-1.14
Armenia,2000,-1.21
Armenia,2001,-1.04
Armenia,2002,-0.76
Armenia,2003,-0.59
Armenia,2004,-0.61
Armenia,2005,-0.6
Armenia,2006,-0.76
Armenia,2007,-0.7
Armenia,2008,-0.7
Armenia,2009,-0.59
Armenia,2010,-0.63
Armenia,2011,-0.55
Armenia,2012,-0.45
Armenia,2013,-0.45
Armenia,2014,-0.34
Armenia,2015,-0.44
Armenia,2016,-0.45
Armenia,2017,-0.53
Armenia,2018,-0.55
Armenia,2019,-0.58
Armenia,2020,-0.49
Armenia,2021,-0.56
Aruba,1950,3.48
Aruba,1951,3.78
Aruba,1952,3.68
Aruba,1953,3.6
Aruba,1954,3.5
Aruba,1955,3.49
Aruba,1956,3.41
Aruba,1957,3.34
Aruba,1958,3.21
Aruba,1959,3.08
Aruba,1960,2.74
Aruba,1961,1.63
Aruba,1962,1.47
Aruba,1963,1.31
Aruba,1964,1.12
Aruba,1965,0.94
Aruba,1966,0.78
Aruba,1967,0
Aruba,1968,-0.17
Aruba,1969,-0.3
Aruba,1970,-0.45
Aruba,1971,-0.53
Aruba,1972,0.66
Aruba,1973,1.06
Aruba,1974,1.16
Aruba,1975,1.12
Aruba,1976,0.45
Aruba,1977,0.44
Aruba,1978,0.44
Aruba,1979,0.43
Aruba,1980,0.41
Aruba,1981,0.7
Aruba,1982,0.9
Aruba,1983,0.89
Aruba,1984,0.65
Aruba,1985,0.29
Aruba,1986,-0.06
Aruba,1987,-0.26
Aruba,1988,-0.11
Aruba,1989,0.93
Aruba,1990,2.48
Aruba,1991,3.94
Aruba,1992,2.82
Aruba,1993,3.25
Aruba,1994,3.14
Aruba,1995,3.03
Aruba,1996,3.02
Aruba,1997,3.03
Aruba,1998,2.98
Aruba,1999,2.89
Aruba,2000,2.2
Aruba,2001,1.35
Aruba,2002,1.05
Aruba,2003,0.95
Aruba,2004,0.85
Aruba,2005,1.15
Aruba,2006,1.21
Aruba,2007,1.24
Aruba,2008,1.24
Aruba,2009,1.23
Aruba,2010,1.04
Aruba,2011,0.84
Aruba,2012,0.78
Aruba,2013,0.72
Aruba,2014,0.66
Aruba,2015,0.62
Aruba,2016,0.56
Aruba,2017,0.51
Aruba,2018,0.48
Aruba,2019,0.42
Aruba,2020,-0.16
Aruba,2021,0.07
Asia,1950,1.9
Asia,1951,1.92
Asia,1952,2.21
Asia,1953,2.12
Asia,1954,2.25
Asia,1955,2.26
Asia,1956,2.2
Asia,1957,2.36
Asia,1958,2.18
Asia,1959,1.72
Asia,1960,1.46
Asia,1961,1.62
Asia,1962,2.43
Asia,1963,2.74
Asia,1964,2.53
Asia,1965,2.45
Asia,1966,2.38
Asia,1967,2.31
Asia,1968,2.5
Asia,1969,2.42
Asia,1970,2.41
Asia,1971,2.25
Asia,1972,2.27
Asia,1973,2.22
Asia,1974,2.12
Asia,1975,1.97
Asia,1976,1.94
Asia,1977,1.89
Asia,1978,1.85
Asia,1979,1.91
Asia,1980,1.95
Asia,1981,1.99
Asia,1982,2.04
Asia,1983,1.95
Asia,1984,1.97
Asia,1985,1.97
Asia,1986,2.01
Asia,1987,2.02
Asia,1988,1.95
Asia,1989,1.93
Asia,1990,1.9
Asia,1991,1.72
Asia,1992,1.64
Asia,1993,1.57
Asia,1994,1.54
Asia,1995,1.48
Asia,1996,1.44
Asia,1997,1.41
Asia,1998,1.38
Asia,1999,1.34
Asia,2000,1.34
Asia,2001,1.32
Asia,2002,1.28
Asia,2003,1.24
Asia,2004,1.22
Asia,2005,1.21
Asia,2006,1.19
Asia,2007,1.17
Asia,2008,1.17
Asia,2009,1.17
Asia,2010,1.15
Asia,2011,1.14
Asia,2012,1.13
Asia,2013,1.08
Asia,2014,1.07
Asia,2015,1
Asia,2016,1
Asia,2017,0.95
Asia,2018,0.87
Asia,2019,0.82
Asia,2020,0.71
Asia,2021,0.59
Australia,1950,3.14
Australia,1951,2.72
Australia,1952,2.28
Australia,1953,1.99
Australia,1954,2.14
Australia,1955,2.39
Australia,1956,2.33
Australia,1957,2.17
Australia,1958,2.12
Australia,1959,2.15
Australia,1960,2.2
Australia,1961,2.03
Australia,1962,1.86
Australia,1963,1.94
Australia,1964,1.95
Australia,1965,2.1
Australia,1966,1.96
Australia,1967,1.74
Australia,1968,1.92
Australia,1969,2.05
Australia,1970,3.19
Australia,1971,3.04
Australia,1972,1.64
Australia,1973,1.54
Australia,1974,1.4
Australia,1975,1.12
Australia,1976,1.05
Australia,1977,1.15
Australia,1978,1.12
Australia,1979,1.16
Australia,1980,1.38
Australia,1981,1.63
Australia,1982,1.54
Australia,1983,1.28
Australia,1984,1.26
Australia,1985,1.37
Australia,1986,1.48
Australia,1987,1.58
Australia,1988,1.68
Australia,1989,1.58
Australia,1990,1.4
Australia,1991,1.2
Australia,1992,1
Australia,1993,0.92
Australia,1994,1.04
Australia,1995,1.17
Australia,1996,1.14
Australia,1997,1.03
Australia,1998,1.04
Australia,1999,1.09
Australia,2000,1.21
Australia,2001,1.2
Australia,2002,1.15
Australia,2003,1.13
Australia,2004,1.16
Australia,2005,1.3
Australia,2006,1.6
Australia,2007,1.92
Australia,2008,2.04
Australia,2009,1.81
Australia,2010,1.47
Australia,2011,1.57
Australia,2012,1.73
Australia,2013,1.61
Australia,2014,1.46
Australia,2015,1.5
Australia,2016,1.63
Australia,2017,1.61
Australia,2018,1.53
Australia,2019,1.48
Australia,2020,0.98
Australia,2021,0.97
Austria,1950,-0.04
Austria,1951,-0.13
Austria,1952,0.04
Austria,1953,0.1
Austria,1954,0.12
Austria,1955,0.07
Austria,1956,0.09
Austria,1957,0.3
Austria,1958,0.32
Austria,1959,0.45
Austria,1960,0.49
Austria,1961,0.61
Austria,1962,0.61
Austria,1963,0.67
Austria,1964,0.66
Austria,1965,0.63
Austria,1966,0.76
Austria,1967,0.72
Austria,1968,0.31
Austria,1969,0.38
Austria,1970,0.32
Austria,1971,0.57
Austria,1972,0.59
Austria,1973,0.52
Austria,1974,-0.18
Austria,1975,-0.35
Austria,1976,0
Austria,1977,0.08
Austria,1978,-0.24
Austria,1979,-0.1
Austria,1980,0.1
Austria,1981,0.39
Austria,1982,-0.26
Austria,1983,-0.06
Austria,1984,0.05
Austria,1985,0.05
Austria,1986,0.09
Austria,1987,0.05
Austria,1988,0.25
Austria,1989,0.68
Austria,1990,0.87
Austria,1991,1.12
Austria,1992,1.06
Austria,1993,0.58
Austria,1994,0.18
Austria,1995,0.12
Austria,1996,0.15
Austria,1997,0.08
Austria,1998,0.14
Austria,1999,0.25
Austria,2000,0.23
Austria,2001,0.5
Austria,2002,0.48
Austria,2003,0.54
Austria,2004,0.72
Austria,2005,0.64
Austria,2006,0.35
Austria,2007,0.3
Austria,2008,0.33
Austria,2009,0.19
Austria,2010,0.28
Austria,2011,0.39
Austria,2012,0.52
Austria,2013,0.66
Austria,2014,0.9
Austria,2015,1.34
Austria,2016,0.83
Austria,2017,0.56
Austria,2018,0.41
Austria,2019,0.48
Austria,2020,0.15
Austria,2021,0.17
Azerbaijan,1950,2.03
Azerbaijan,1951,2.13
Azerbaijan,1952,2.26
Azerbaijan,1953,2.38
Azerbaijan,1954,2.54
Azerbaijan,1955,2.7
Azerbaijan,1956,2.85
Azerbaijan,1957,2.99
Azerbaijan,1958,3.12
Azerbaijan,1959,3.21
Azerbaijan,1960,3.28
Azerbaijan,1961,3.31
Azerbaijan,1962,3.26
Azerbaijan,1963,3.18
Azerbaijan,1964,3.01
Azerbaijan,1965,2.79
Azerbaijan,1966,2.57
Azerbaijan,1967,2.31
Azerbaijan,1968,2.18
Azerbaijan,1969,2.04
Azerbaijan,1970,1.94
Azerbaijan,1971,1.85
Azerbaijan,1972,1.77
Azerbaijan,1973,1.7
Azerbaijan,1974,1.68
Azerbaijan,1975,1.65
Azerbaijan,1976,1.58
Azerbaijan,1977,1.53
Azerbaijan,1978,1.48
Azerbaijan,1979,1.35
Azerbaijan,1980,1.36
Azerbaijan,1981,1.42
Azerbaijan,1982,1.49
Azerbaijan,1983,1.58
Azerbaijan,1984,1.64
Azerbaijan,1985,1.69
Azerbaijan,1986,1.7
Azerbaijan,1987,1.79
Azerbaijan,1988,1.78
Azerbaijan,1989,0.63
Azerbaijan,1990,1.5
