Entity,Year,CO2 concentrations,CH4 concentrations,N2O concentrations,February,September,Mass U.S. glaciers,CSIRO,IAP,MRIJMA,NOAA,Snow cover,Sea surface temp,Sea surface temp (lower-bound),Sea surface temp (upper-bound),IAP,NOAA,MRIJMA,Arctic sea ice
Antarctica,2005,,,,1.146723412,7.258720589,,,,,,,,,,,,,
Antarctica,2006,,,,1.023170721,7.370690215,,,,,,,,,,,,,
Antarctica,2007,,,,1.119696261,7.281886719,,,,,,,,,,,,,
Antarctica,2008,,,,1.501937399,7.007754186,,,,,,,,,,,,,
Antarctica,2009,,,,1.154445455,7.320496935,,,,,,,,,,,,,
Antarctica,2010,,,,1.200777714,7.258720589,,,,,,,,,,,,,
Antarctica,2011,,,,0.972977441,7.23555446,,,,,,,,,,,,,
Antarctica,2012,,,,1.370662664,7.417022474,,,,,,,,,,,,,
Antarctica,2013,,,,1.482632291,7.486520863,,,,,,,,,,,,,
Antarctica,2014,,,,1.482632291,7.629378662,,,,,,,,,,,,,
Antarctica,2015,,,,1.467188204,7.119723812,,,,,,,,,,,,,
Antarctica,2016,,,,1.077225024,7.007754186,,,,,,,,,,,,,
Antarctica,2017,,,,0.884173944,6.915089668,,,,,,,,,,,,,
Antarctica,2018,,,,0.89961803,6.934394776,,,,,,,,,,,,,
Antarctica,2019,,,,1.023170721,7.077252574,,,,,,,,,,,,,
Antarctica,2020,,,,1.127418304,7.274164676,,,,,,,,,,,,,
Antarctica,2021,,,,1.09266911,7.123584834,,,,,,,,,,,,,
Gulkana Glacier,1965,,,,,,0,,,,,,,,,,,,
Gulkana Glacier,1966,,,,,,-0.74,,,,,,,,,,,,
Gulkana Glacier,1967,,,,,,-0.56,,,,,,,,,,,,
Gulkana Glacier,1968,,,,,,-1.05,,,,,,,,,,,,
Gulkana Glacier,1969,,,,,,-2.26,,,,,,,,,,,,
Gulkana Glacier,1970,,,,,,-2.31,,,,,,,,,,,,
Gulkana Glacier,1971,,,,,,-2.79,,,,,,,,,,,,
Gulkana Glacier,1972,,,,,,-3.6,,,,,,,,,,,,
Gulkana Glacier,1973,,,,,,-3.6,,,,,,,,,,,,
Gulkana Glacier,1974,,,,,,-5.51,,,,,,,,,,,,
Gulkana Glacier,1975,,,,,,-6.32,,,,,,,,,,,,
Gulkana Glacier,1976,,,,,,-6.38,,,,,,,,,,,,
Gulkana Glacier,1977,,,,,,-6.05,,,,,,,,,,,,
Gulkana Glacier,1978,,,,,,-6.13,,,,,,,,,,,,
Gulkana Glacier,1979,,,,,,-6.41,,,,,,,,,,,,
Gulkana Glacier,1980,,,,,,-5.79,,,,,,,,,,,,
Gulkana Glacier,1981,,,,,,-5.9,,,,,,,,,,,,
Gulkana Glacier,1982,,,,,,-6.41,,,,,,,,,,,,
Gulkana Glacier,1983,,,,,,-6.03,,,,,,,,,,,,
Gulkana Glacier,1984,,,,,,-6.53,,,,,,,,,,,,
Gulkana Glacier,1985,,,,,,-6.79,,,,,,,,,,,,
Gulkana Glacier,1986,,,,,,-6.76,,,,,,,,,,,,
Gulkana Glacier,1987,,,,,,-7.39,,,,,,,,,,,,
Gulkana Glacier,1988,,,,,,-7.33,,,,,,,,,,,,
Gulkana Glacier,1989,,,,,,-7.75,,,,,,,,,,,,
Gulkana Glacier,1990,,,,,,-8.42,,,,,,,,,,,,
Gulkana Glacier,1991,,,,,,-8.84,,,,,,,,,,,,
Gulkana Glacier,1992,,,,,,-9.55,,,,,,,,,,,,
Gulkana Glacier,1993,,,,,,-11.06,,,,,,,,,,,,
Gulkana Glacier,1994,,,,,,-11.45,,,,,,,,,,,,
Gulkana Glacier,1995,,,,,,-12.47,,,,,,,,,,,,
Gulkana Glacier,1996,,,,,,-12.93,,,,,,,,,,,,
Gulkana Glacier,1997,,,,,,-14.85,,,,,,,,,,,,
Gulkana Glacier,1998,,,,,,-15.3,,,,,,,,,,,,
Gulkana Glacier,1999,,,,,,-16.71,,,,,,,,,,,,
Gulkana Glacier,2000,,,,,,-16.66,,,,,,,,,,,,
Gulkana Glacier,2001,,,,,,-17.61,,,,,,,,,,,,
Gulkana Glacier,2002,,,,,,-18.14,,,,,,,,,,,,
Gulkana Glacier,2003,,,,,,-17.56,,,,,,,,,,,,
Gulkana Glacier,2004,,,,,,-19.97,,,,,,,,,,,,
Gulkana Glacier,2005,,,,,,-20.46,,,,,,,,,,,,
Gulkana Glacier,2006,,,,,,-19.99,,,,,,,,,,,,
Gulkana Glacier,2007,,,,,,-20.16,,,,,,,,,,,,
Gulkana Glacier,2008,,,,,,-18.8,,,,,,,,,,,,
Gulkana Glacier,2009,,,,,,-19.37,,,,,,,,,,,,
Gulkana Glacier,2010,,,,,,-20.99,,,,,,,,,,,,
Gulkana Glacier,2011,,,,,,-22.62,,,,,,,,,,,,
Gulkana Glacier,2012,,,,,,-23,,,,,,,,,,,,
Gulkana Glacier,2013,,,,,,-24.2,,,,,,,,,,,,
Gulkana Glacier,2014,,,,,,-24.26,,,,,,,,,,,,
Gulkana Glacier,2015,,,,,,-25.59,,,,,,,,,,,,
Gulkana Glacier,2016,,,,,,-26.88,,,,,,,,,,,,
Gulkana Glacier,2017,,,,,,-28.68,,,,,,,,,,,,
Gulkana Glacier,2018,,,,,,-29.06,,,,,,,,,,,,
Gulkana Glacier,2019,,,,,,-31.01,,,,,,,,,,,,
Lemon Creek Glacier,1952,,,,,,1.15,,,,,,,,,,,,
Lemon Creek Glacier,1953,,,,,,0.67,,,,,,,,,,,,
Lemon Creek Glacier,1954,,,,,,0.57,,,,,,,,,,,,
Lemon Creek Glacier,1955,,,,,,1.77,,,,,,,,,,,,
Lemon Creek Glacier,1956,,,,,,1.21,,,,,,,,,,,,
Lemon Creek Glacier,1957,,,,,,1.3,,,,,,,,,,,,
Lemon Creek Glacier,1958,,,,,,0.8,,,,,,,,,,,,
Lemon Creek Glacier,1959,,,,,,-0.02,,,,,,,,,,,,
Lemon Creek Glacier,1960,,,,,,-0.76,,,,,,,,,,,,
Lemon Creek Glacier,1961,,,,,,-0.92,,,,,,,,,,,,
Lemon Creek Glacier,1962,,,,,,-1.53,,,,,,,,,,,,
Lemon Creek Glacier,1963,,,,,,-1.28,,,,,,,,,,,,
Lemon Creek Glacier,1964,,,,,,-0.16,,,,,,,,,,,,
Lemon Creek Glacier,1965,,,,,,0,,,,,,,,,,,,
Lemon Creek Glacier,1966,,,,,,-0.41,,,,,,,,,,,,
Lemon Creek Glacier,1967,,,,,,-0.93,,,,,,,,,,,,
Lemon Creek Glacier,1968,,,,,,-1.07,,,,,,,,,,,,
Lemon Creek Glacier,1969,,,,,,-0.78,,,,,,,,,,,,
Lemon Creek Glacier,1970,,,,,,-0.79,,,,,,,,,,,,
Lemon Creek Glacier,1971,,,,,,-1.11,,,,,,,,,,,,
Lemon Creek Glacier,1972,,,,,,-1.68,,,,,,,,,,,,
Lemon Creek Glacier,1973,,,,,,-2.12,,,,,,,,,,,,
Lemon Creek Glacier,1974,,,,,,-2.41,,,,,,,,,,,,
Lemon Creek Glacier,1975,,,,,,-2.04,,,,,,,,,,,,
Lemon Creek Glacier,1976,,,,,,-2.21,,,,,,,,,,,,
Lemon Creek Glacier,1977,,,,,,-2.61,,,,,,,,,,,,
Lemon Creek Glacier,1978,,,,,,-3.33,,,,,,,,,,,,
Lemon Creek Glacier,1979,,,,,,-3.87,,,,,,,,,,,,
Lemon Creek Glacier,1980,,,,,,-4.06,,,,,,,,,,,,
Lemon Creek Glacier,1981,,,,,,-4.79,,,,,,,,,,,,
Lemon Creek Glacier,1982,,,,,,-5.14,,,,,,,,,,,,
Lemon Creek Glacier,1983,,,,,,-6.68,,,,,,,,,,,,
Lemon Creek Glacier,1984,,,,,,-6.85,,,,,,,,,,,,
Lemon Creek Glacier,1985,,,,,,-6.44,,,,,,,,,,,,
Lemon Creek Glacier,1986,,,,,,-6.87,,,,,,,,,,,,
Lemon Creek Glacier,1987,,,,,,-7.63,,,,,,,,,,,,
Lemon Creek Glacier,1988,,,,,,-7.44,,,,,,,,,,,,
Lemon Creek Glacier,1989,,,,,,-8.6,,,,,,,,,,,,
Lemon Creek Glacier,1990,,,,,,-9.63,,,,,,,,,,,,
Lemon Creek Glacier,1991,,,,,,-9.93,,,,,,,,,,,,
Lemon Creek Glacier,1992,,,,,,-10.51,,,,,,,,,,,,
Lemon Creek Glacier,1993,,,,,,-11.41,,,,,,,,,,,,
Lemon Creek Glacier,1994,,,,,,-12.09,,,,,,,,,,,,
Lemon Creek Glacier,1995,,,,,,-13.32,,,,,,,,,,,,
Lemon Creek Glacier,1996,,,,,,-14.82,,,,,,,,,,,,
Lemon Creek Glacier,1997,,,,,,-16.55,,,,,,,,,,,,
Lemon Creek Glacier,1998,,,,,,-17.27,,,,,,,,,,,,
Lemon Creek Glacier,1999,,,,,,-17.51,,,,,,,,,,,,
Lemon Creek Glacier,2000,,,,,,-17.78,,,,,,,,,,,,
Lemon Creek Glacier,2001,,,,,,-18.11,,,,,,,,,,,,
Lemon Creek Glacier,2002,,,,,,-18.72,,,,,,,,,,,,
Lemon Creek Glacier,2003,,,,,,-20.64,,,,,,,,,,,,
Lemon Creek Glacier,2004,,,,,,-22.28,,,,,,,,,,,,
Lemon Creek Glacier,2005,,,,,,-23.76,,,,,,,,,,,,
Lemon Creek Glacier,2006,,,,,,-24.3,,,,,,,,,,,,
Lemon Creek Glacier,2007,,,,,,-24.7,,,,,,,,,,,,
Lemon Creek Glacier,2008,,,,,,-24.08,,,,,,,,,,,,
Lemon Creek Glacier,2009,,,,,,-25.22,,,,,,,,,,,,
Lemon Creek Glacier,2010,,,,,,-26.37,,,,,,,,,,,,
Lemon Creek Glacier,2011,,,,,,-27.36,,,,,,,,,,,,
Lemon Creek Glacier,2012,,,,,,-26.71,,,,,,,,,,,,
Lemon Creek Glacier,2013,,,,,,-28.44,,,,,,,,,,,,
Lemon Creek Glacier,2014,,,,,,-30.23,,,,,,,,,,,,
Lemon Creek Glacier,2015,,,,,,-31.91,,,,,,,,,,,,
Lemon Creek Glacier,2016,,,,,,-33.96,,,,,,,,,,,,
Lemon Creek Glacier,2017,,,,,,-35.72,,,,,,,,,,,,
Lemon Creek Glacier,2018,,,,,,-38.32,,,,,,,,,,,,
Lemon Creek Glacier,2019,,,,,,-41.72,,,,,,,,,,,,
North America,1972,,,,,,,,,,,3392279.714,,,,,,,
North America,1973,,,,,,,,,,,3298788.039,,,,,,,
North America,1974,,,,,,,,,,,3301085.77,,,,,,,
North America,1975,,,,,,,,,,,3392007.163,,,,,,,
North America,1976,,,,,,,,,,,3317339.739,,,,,,,
North America,1977,,,,,,,,,,,3247929.341,,,,,,,
North America,1978,,,,,,,,,,,3637832.497,,,,,,,
North America,1979,,,,,,,,,,,3354711.996,,,,,,,
North America,1980,,,,,,,,,,,3182642.822,,,,,,,
North America,1981,,,,,,,,,,,3178191.984,,,,,,,
North America,1982,,,,,,,,,,,3378676.737,,,,,,,
North America,1983,,,,,,,,,,,3294468.476,,,,,,,
North America,1984,,,,,,,,,,,3163445.904,,,,,,,
North America,1985,,,,,,,,,,,3584966.291,,,,,,,
North America,1986,,,,,,,,,,,3323220.947,,,,,,,
North America,1987,,,,,,,,,,,3031835.276,,,,,,,
North America,1988,,,,,,,,,,,3108661.765,,,,,,,
North America,1989,,,,,,,,,,,3186652.248,,,,,,,
North America,1990,,,,,,,,,,,3028377.939,,,,,,,
North America,1991,,,,,,,,,,,3163901.222,,,,,,,
North America,1992,,,,,,,,,,,3216186.508,,,,,,,
North America,1993,,,,,,,,,,,3209488.308,,,,,,,
North America,1994,,,,,,,,,,,3117547.037,,,,,,,
North America,1995,,,,,,,,,,,3215052.207,,,,,,,
North America,1996,,,,,,,,,,,3361739.59,,,,,,,
North America,1997,,,,,,,,,,,3384002.738,,,,,,,
North America,1998,,,,,,,,,,,3017915.64,,,,,,,
North America,1999,,,,,,,,,,,3076900.834,,,,,,,
North America,2000,,,,,,,,,,,3255006.578,,,,,,,
North America,2001,,,,,,,,,,,3232324.346,,,,,,,
North America,2002,,,,,,,,,,,3335300.413,,,,,,,
North America,2003,,,,,,,,,,,3281256.758,,,,,,,
North America,2004,,,,,,,,,,,3310144.98,,,,,,,
North America,2005,,,,,,,,,,,3120657.454,,,,,,,
North America,2006,,,,,,,,,,,3089063.947,,,,,,,
North America,2007,,,,,,,,,,,3202414.014,,,,,,,
North America,2008,,,,,,,,,,,3274836.562,,,,,,,
North America,2009,,,,,,,,,,,3254751.432,,,,,,,
North America,2010,,,,,,,,,,,3189228.26,,,,,,,
North America,2011,,,,,,,,,,,3240166.111,,,,,,,
North America,2012,,,,,,,,,,,3046496.057,,,,,,,
North America,2013,,,,,,,,,,,3370868.686,,,,,,,
North America,2014,,,,,,,,,,,3307196.356,,,,,,,
North America,2015,,,,,,,,,,,3103601.658,,,,,,,
North America,2016,,,,,,,,,,,3173890.235,,,,,,,
North America,2017,,,,,,,,,,,3299081.766,,,,,,,
North America,2018,,,,,,,,,,,3453203.999,,,,,,,
North America,2019,,,,,,,,,,,3277154.185,,,,,,,
North America,2020,,,,,,,,,,,3253967.644,,,,,,,
Northern Hemisphere,1850,,,,,,,,,,,,-0.24543,-0.35354,-0.16146,,,,
Northern Hemisphere,1851,,,,,,,,,,,,-0.12597,-0.23308,-0.04354,,,,
Northern Hemisphere,1852,,,,,,,,,,,,-0.04124,-0.14458,0.04379,,,,
Northern Hemisphere,1853,,,,,,,,,,,,-0.07099,-0.16946,0.00867,,,,
Northern Hemisphere,1854,,,,,,,,,,,,-0.09133,-0.18637,-0.01317,,,,
Northern Hemisphere,1855,,,,,,,,,,,,-0.07278,-0.16125,0.00354,,,,
Northern Hemisphere,1856,,,,,,,,,,,,-0.2731,-0.36,-0.19729,,,,
Northern Hemisphere,1857,,,,,,,,,,,,-0.30807,-0.39054,-0.23358,,,,
Northern Hemisphere,1858,,,,,,,,,,,,-0.34941,-0.42792,-0.27554,,,,
Northern Hemisphere,1859,,,,,,,,,,,,-0.22826,-0.30479,-0.15287,,,,
Northern Hemisphere,1860,,,,,,,,,,,,-0.18485,-0.25554,-0.11112,,,,
Northern Hemisphere,1861,,,,,,,,,,,,-0.19615,-0.26479,-0.12233,,,,
Northern Hemisphere,1862,,,,,,,,,,,,-0.49465,-0.56004,-0.4265,,,,
Northern Hemisphere,1863,,,,,,,,,,,,-0.2943,-0.35725,-0.22225,,,,
Northern Hemisphere,1864,,,,,,,,,,,,-0.23266,-0.29137,-0.16179,,,,
Northern Hemisphere,1865,,,,,,,,,,,,-0.06615,-0.12154,0.00271,,,,
Northern Hemisphere,1866,,,,,,,,,,,,-0.10785,-0.16167,-0.04337,,,,
Northern Hemisphere,1867,,,,,,,,,,,,-0.06536,-0.11575,-0.00121,,,,
Northern Hemisphere,1868,,,,,,,,,,,,0.04032,-0.00992,0.10521,,,,
Northern Hemisphere,1869,,,,,,,,,,,,-0.08863,-0.13996,-0.02279,,,,
Northern Hemisphere,1870,,,,,,,,,,,,-0.02181,-0.07187,0.04279,,,,
Northern Hemisphere,1871,,,,,,,,,,,,-0.18074,-0.22867,-0.11804,,,,
Northern Hemisphere,1872,,,,,,,,,,,,-0.19192,-0.238,-0.12946,,,,
Northern Hemisphere,1873,,,,,,,,,,,,-0.25505,-0.30263,-0.19629,,,,
Northern Hemisphere,1874,,,,,,,,,,,,-0.29415,-0.34129,-0.23683,,,,
Northern Hemisphere,1875,,,,,,,,,,,,-0.2132,-0.26217,-0.14925,,,,
Northern Hemisphere,1876,,,,,,,,,,,,-0.23862,-0.29017,-0.17804,,,,
Northern Hemisphere,1877,,,,,,,,,,,,0.1577,0.1055,0.21713,,,,
Northern Hemisphere,1878,,,,,,,,,,,,0.1477,0.09646,0.21258,,,,
Northern Hemisphere,1879,,,,,,,,,,,,-0.15504,-0.20613,-0.09137,,,,
Northern Hemisphere,1880,,,,,,,,,,,,-0.16824,-0.223,-0.10817,,,,
Northern Hemisphere,1881,,,,,,,,,,,,-0.14439,-0.20108,-0.07875,,,,
Northern Hemisphere,1882,,,,,,,,,,,,-0.24403,-0.301,-0.17829,,,,
Northern Hemisphere,1883,,,,,,,,,,,,-0.2774,-0.33846,-0.21396,,,,
Northern Hemisphere,1884,,,,,,,,,,,,-0.35685,-0.41708,-0.29404,,,,
Northern Hemisphere,1885,,,,,,,,,,,,-0.2492,-0.31037,-0.18483,,,,
Northern Hemisphere,1886,,,,,,,,,,,,-0.28935,-0.35625,-0.22417,,,,
Northern Hemisphere,1887,,,,,,,,,,,,-0.33744,-0.40475,-0.27229,,,,
Northern Hemisphere,1888,,,,,,,,,,,,-0.10611,-0.17442,-0.04233,,,,
Northern Hemisphere,1889,,,,,,,,,,,,-0.08164,-0.1495,-0.01708,,,,
Northern Hemisphere,1890,,,,,,,,,,,,-0.4016,-0.46671,-0.33467,,,,
Northern Hemisphere,1891,,,,,,,,,,,,-0.18634,-0.25708,-0.11387,,,,
Northern Hemisphere,1892,,,,,,,,,,,,-0.40831,-0.48137,-0.33596,,,,
Northern Hemisphere,1893,,,,,,,,,,,,-0.44532,-0.52117,-0.37271,,,,
Northern Hemisphere,1894,,,,,,,,,,,,-0.46641,-0.54479,-0.39642,,,,
Northern Hemisphere,1895,,,,,,,,,,,,-0.28801,-0.36442,-0.21658,,,,
Northern Hemisphere,1896,,,,,,,,,,,,-0.08731,-0.16608,-0.01646,,,,
Northern Hemisphere,1897,,,,,,,,,,,,-0.09577,-0.17492,-0.02367,,,,
Northern Hemisphere,1898,,,,,,,,,,,,-0.29201,-0.37442,-0.21675,,,,
Northern Hemisphere,1899,,,,,,,,,,,,-0.23844,-0.3235,-0.15892,,,,
Northern Hemisphere,1900,,,,,,,,,,,,-0.07819,-0.16596,0.00325,,,,
Northern Hemisphere,1901,,,,,,,,,,,,-0.24849,-0.34033,-0.16396,,,,
Northern Hemisphere,1902,,,,,,,,,,,,-0.3918,-0.4845,-0.31029,,,,
Northern Hemisphere,1903,,,,,,,,,,,,-0.49264,-0.58646,-0.40454,,,,
Northern Hemisphere,1904,,,,,,,,,,,,-0.57373,-0.66996,-0.48629,,,,
Northern Hemisphere,1905,,,,,,,,,,,,-0.40044,-0.49867,-0.30921,,,,
Northern Hemisphere,1906,,,,,,,,,,,,-0.33631,-0.43621,-0.23962,,,,
Northern Hemisphere,1907,,,,,,,,,,,,-0.44558,-0.52987,-0.36033,,,,
Northern Hemisphere,1908,,,,,,,,,,,,-0.52417,-0.59425,-0.44646,,,,
Northern Hemisphere,1909,,,,,,,,,,,,-0.52935,-0.59292,-0.452,,,,
Northern Hemisphere,1910,,,,,,,,,,,,-0.5445,-0.60346,-0.47788,,,,
Northern Hemisphere,1911,,,,,,,,,,,,-0.46702,-0.53071,-0.412,,,,
Northern Hemisphere,1912,,,,,,,,,,,,-0.42531,-0.48925,-0.36425,,,,
Northern Hemisphere,1913,,,,,,,,,,,,-0.53469,-0.59979,-0.47054,,,,
Northern Hemisphere,1914,,,,,,,,,,,,-0.33924,-0.40421,-0.27338,,,,
Northern Hemisphere,1915,,,,,,,,,,,,-0.1897,-0.25379,-0.1215,,,,
Northern Hemisphere,1916,,,,,,,,,,,,-0.42129,-0.48737,-0.34871,,,,
Northern Hemisphere,1917,,,,,,,,,,,,-0.4606,-0.52608,-0.384,,,,
Northern Hemisphere,1918,,,,,,,,,,,,-0.4544,-0.52521,-0.37975,,,,
Northern Hemisphere,1919,,,,,,,,,,,,-0.38187,-0.45012,-0.30154,,,,
Northern Hemisphere,1920,,,,,,,,,,,,-0.32348,-0.39408,-0.23696,,,,
Northern Hemisphere,1921,,,,,,,,,,,,-0.22673,-0.30308,-0.14717,,,,
Northern Hemisphere,1922,,,,,,,,,,,,-0.29582,-0.36858,-0.21133,,,,
Northern Hemisphere,1923,,,,,,,,,,,,-0.29836,-0.372,-0.20633,,,,
Northern Hemisphere,1924,,,,,,,,,,,,-0.24975,-0.32425,-0.16312,,,,
Northern Hemisphere,1925,,,,,,,,,,,,-0.21979,-0.29358,-0.135,,,,
Northern Hemisphere,1926,,,,,,,,,,,,-0.04269,-0.11913,0.04683,,,,
Northern Hemisphere,1927,,,,,,,,,,,,-0.09865,-0.17896,-0.01342,,,,
Northern Hemisphere,1928,,,,,,,,,,,,-0.16752,-0.24437,-0.08312,,,,
Northern Hemisphere,1929,,,,,,,,,,,,-0.22852,-0.31012,-0.14571,,,,
Northern Hemisphere,1930,,,,,,,,,,,,-0.05307,-0.13262,0.03821,,,,
Northern Hemisphere,1931,,,,,,,,,,,,-0.03009,-0.11083,0.06279,,,,
Northern Hemisphere,1932,,,,,,,,,,,,-0.14323,-0.22421,-0.05258,,,,
Northern Hemisphere,1933,,,,,,,,,,,,-0.17368,-0.25892,-0.08221,,,,
Northern Hemisphere,1934,,,,,,,,,,,,-0.17335,-0.26596,-0.08296,,,,
Northern Hemisphere,1935,,,,,,,,,,,,-0.14515,-0.23717,-0.06192,,,,
Northern Hemisphere,1936,,,,,,,,,,,,-0.0602,-0.15329,0.03079,,,,
Northern Hemisphere,1937,,,,,,,,,,,,0.07546,-0.01875,0.16046,,,,
Northern Hemisphere,1938,,,,,,,,,,,,-0.06008,-0.15,0.02867,,,,
Northern Hemisphere,1939,,,,,,,,,,,,-0.09279,-0.18421,0.00179,,,,
Northern Hemisphere,1940,,,,,,,,,,,,-0.0274,-0.12562,0.07375,,,,
Northern Hemisphere,1941,,,,,,,,,,,,0.0216,-0.21954,0.24692,,,,
Northern Hemisphere,1942,,,,,,,,,,,,0.13673,-0.10408,0.35483,,,,
Northern Hemisphere,1943,,,,,,,,,,,,0.09311,-0.14833,0.31142,,,,
Northern Hemisphere,1944,,,,,,,,,,,,0.22701,-0.01696,0.44517,,,,
Northern Hemisphere,1945,,,,,,,,,,,,0.24019,-0.00462,0.45304,,,,
Northern Hemisphere,1946,,,,,,,,,,,,0.04629,-0.12504,0.19358,,,,
Northern Hemisphere,1947,,,,,,,,,,,,-0.07262,-0.24033,0.07175,,,,
Northern Hemisphere,1948,,,,,,,,,,,,-0.03049,-0.18475,0.09575,,,,
Northern Hemisphere,1949,,,,,,,,,,,,-0.05113,-0.16938,0.04996,,,,
Northern Hemisphere,1950,,,,,,,,,,,,-0.03175,-0.11442,0.04813,,,,
Northern Hemisphere,1951,,,,,,,,,,,,0.13304,0.07179,0.19929,,,,
Northern Hemisphere,1952,,,,,,,,,,,,0.13137,0.06479,0.19658,,,,
Northern Hemisphere,1953,,,,,,,,,,,,0.13419,0.06583,0.20604,,,,
Northern Hemisphere,1954,,,,,,,,,,,,-0.02413,-0.09329,0.04329,,,,
Northern Hemisphere,1955,,,,,,,,,,,,-0.08925,-0.16175,-0.02171,,,,
Northern Hemisphere,1956,,,,,,,,,,,,-0.15927,-0.23137,-0.09612,,,,
Northern Hemisphere,1957,,,,,,,,,,,,0.05476,-0.01329,0.12171,,,,
Northern Hemisphere,1958,,,,,,,,,,,,0.13829,0.078,0.20808,,,,
Northern Hemisphere,1959,,,,,,,,,,,,0.04891,-0.00933,0.11958,,,,
Northern Hemisphere,1960,,,,,,,,,,,,0.00403,-0.04833,0.06817,,,,
Northern Hemisphere,1961,,,,,,,,,,,,0.01988,-0.02446,0.06663,,,,
Northern Hemisphere,1962,,,,,,,,,,,,-0.03164,-0.06617,0.00996,,,,
Northern Hemisphere,1963,,,,,,,,,,,,0.05411,0.0155,0.10475,,,,
Northern Hemisphere,1964,,,,,,,,,,,,-0.13576,-0.18071,-0.08583,,,,
Northern Hemisphere,1965,,,,,,,,,,,,-0.15735,-0.20125,-0.10312,,,,
Northern Hemisphere,1966,,,,,,,,,,,,0.03296,-0.00721,0.08054,,,,
Northern Hemisphere,1967,,,,,,,,,,,,-0.02786,-0.06817,0.01663,,,,
Northern Hemisphere,1968,,,,,,,,,,,,-0.06266,-0.095,-0.03067,,,,
Northern Hemisphere,1969,,,,,,,,,,,,0.00904,-0.01842,0.03367,,,,
Northern Hemisphere,1970,,,,,,,,,,,,-0.08445,-0.10471,-0.06554,,,,
Northern Hemisphere,1971,,,,,,,,,,,,-0.28141,-0.2995,-0.26171,,,,
Northern Hemisphere,1972,,,,,,,,,,,,-0.11321,-0.13142,-0.09454,,,,
Northern Hemisphere,1973,,,,,,,,,,,,-0.05486,-0.07437,-0.0365,,,,
Northern Hemisphere,1974,,,,,,,,,,,,-0.19187,-0.21358,-0.17296,,,,
Northern Hemisphere,1975,,,,,,,,,,,,-0.19404,-0.21867,-0.17387,,,,
Northern Hemisphere,1976,,,,,,,,,,,,-0.18453,-0.20921,-0.16404,,,,
Northern Hemisphere,1977,,,,,,,,,,,,0.02875,0.00346,0.04929,,,,
Northern Hemisphere,1978,,,,,,,,,,,,0.02351,-0.00296,0.044,,,,
Northern Hemisphere,1979,,,,,,,,,,,,0.11557,0.09092,0.13608,,,,
Northern Hemisphere,1980,,,,,,,,,,,,0.11814,0.09467,0.13612,,,,
Northern Hemisphere,1981,,,,,,,,,,,,0.11871,0.09521,0.1365,,,,
Northern Hemisphere,1982,,,,,,,,,,,,0.09709,0.07467,0.11433,,,,
Northern Hemisphere,1983,,,,,,,,,,,,0.13134,0.10992,0.14904,,,,
Northern Hemisphere,1984,,,,,,,,,,,,-0.01035,-0.03346,0.00713,,,,
Northern Hemisphere,1985,,,,,,,,,,,,-0.05292,-0.07833,-0.03467,,,,
Northern Hemisphere,1986,,,,,,,,,,,,0.02305,-0.00287,0.04179,,,,
Northern Hemisphere,1987,,,,,,,,,,,,0.18199,0.15579,0.20021,,,,
Northern Hemisphere,1988,,,,,,,,,,,,0.18924,0.16204,0.20638,,,,
